original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
1 TABLET WITH EVENING MEAL,1 tablet with evening meal,,,,,1,,tablet,0,8,1 tablet,,,,,,,by mouth,2,8,tablet,,,,,,,,,,,,,,,,,with evening,9,21,with evening,,,,,,,,,,,
2 TABLETS AT BEDTIME AS NEEDED,2 tablets at bedtime as needed,,,,,2,,tablet,0,9,2 tablets,,,,,,,by mouth,2,9,tablets,1,,1,,day,,,,,,,,10,20,at bedtime,daily,at bedtime,10,20,at bedtime,,,,,,,1,,21,30,as needed
TAKE 1 TABLET THREE TIMES DAILY AS NEEDED FOR SLEEP OR ANXIETY,take 1 tablet three times daily as needed for sleep or anxiety,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,7,13,tablet,3,,1,,day,,,,,,,,14,31,three times daily,3 times per day,,,,,,,,,,,1,"sleep,anxiety",32,62,as needed for sleep or anxiety
TAKE 1 TABLET TWICE DAILY AS NEEDED FOR PAIN,take 1 tablet twice daily as needed for pain,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,7,13,tablet,2,,1,,day,,,,,,,,14,25,twice daily,twice daily,,,,,,,,,,,1,pain,26,44,as needed for pain
TAKE 2 TABLETS EVERY EVENING,take 2 tablets every evening,take,0,4,take,2,,tablet,4,14, 2 tablets,,,,,,,by mouth,7,14,tablets,1,,1,,day,,,,,,,,15,28,every evening,daily,in the evening,15,28,every evening,,,,,,,,,,,
TAKE ONE TABLET 3 DAYS A WEEK,take one tablet 3 days a week,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,3,,1,,week,,,,,,,,16,29,3 days a week,3 times per week,,,,,,,,,,,,,,,
TAKE ONE TABLET EVERY EVENING,take one tablet every evening,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,1,,1,,day,,,,,,,,16,29,every evening,daily,in the evening,16,29,every evening,,,,,,,,,,,
TAKE ONE TABLET EVERY MORNING,take one tablet every morning,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,1,,1,,day,,,,,,,,16,29,every morning,daily,in the morning,16,29,every morning,,,,,,,,,,,
TAKE ONE TABLET FOUR TIMES DAILY,take one tablet four times daily,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,4,,1,,day,,,,,,,,16,32,four times daily,4 times per day,,,,,,,,,,,,,,,
TAKE ONE TABLET NIGHTLY,take one tablet nightly,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,1,,1,,day,,,,,,,,16,23,nightly,daily,at night,16,23,nightly,,,,,,,,,,,
TAKE ONE TABLET ONCE A DAY,take one tablet once a day,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,1,,1,,day,,,,,,,,16,26,once a day,daily,,,,,,,,,,,,,,,
TAKE ONE TABLET ONCE DAILY,take one tablet once daily,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,1,,1,,day,,,,,,,,16,26,once daily,daily,,,,,,,,,,,,,,,
TAKE ONE TABLET ONCE DAILY IN THE MORNING,take one tablet once daily in the morning,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,1,,1,,day,,,,,,,,16,26,once daily,daily,in the morning,27,41,in the morning,,,,,,,,,,,
TAKE ONE TABLET THREE TIMES A DAY,take one tablet three times a day,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,3,,1,,day,,,,,,,,16,33,three times a day,3 times per day,,,,,,,,,,,,,,,
TAKE ONE TABLET THREE TIMES DAILY,take one tablet three times daily,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,3,,1,,day,,,,,,,,16,33,three times daily,3 times per day,,,,,,,,,,,,,,,
TAKE ONE TABLET THREE TIMES DAILY AS NEEDED,take one tablet three times daily as needed,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,3,,1,,day,,,,,,,,16,33,three times daily,3 times per day,,,,,,,,,,,1,,34,43,as needed
TAKE ONE TABLET TWICE A DAY,take one tablet twice a day,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,2,,1,,day,,,,,,,,16,27,twice a day,twice daily,,,,,,,,,,,,,,,
TAKE ONE TABLET TWICE DAILY,take one tablet twice daily,take,0,4,take,1,,tablet,4,15, one tablet,,,,,,,by mouth,9,15,tablet,2,,1,,day,,,,,,,,16,27,twice daily,twice daily,,,,,,,,,,,,,,,
1 TABLET IN THE EVENING,1 tablet in the evening,,,,,1,,tablet,0,8,1 tablet,,,,,,,by mouth,2,8,tablet,1,,1,,day,,,,,,,,9,23,in the evening,daily,in the evening,9,23,in the evening,,,,,,,,,,,
