original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
TAKE 1 TABLET EVERY 8 HOURS PER G TUBE,take 1 tablet every 8 hours per g tube,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,via g-tube,28,38,per g tube,1,,8,,hour,,,,,,,,14,26,every 8 hour,every 8 hours,,,,,,,,,,,,,,,
0.3 MILLILITERS ON THE MUCOUS MEMBRANES TWICE A DAY AS NEEDED,0.3 milliliters on the mucous membranes twice a day as needed,,,,,0.3,,mL,0,14,0.3 milliliter,,,,,,,to mucous membrane,16,39,on the mucous membranes,2,,1,,day,,,,,,,,40,51,twice a day,twice daily,,,,,,,,,,,1,,52,61,as needed
1 DROP(S) EVERY 12 HOURS FOR UNTIL DISCONTINUED,1 drops every 12 hours for until discontinued,,,,,1,,drops,0,6,1 drop,,,,,,,,,,,1,,12,,hour,,,,,,,,8,21,every 12 hour,every 12 hours,,,,,,,,,,,,,,,
1 SUPPOSITORY WITHIN THE URETHRA DAILY AS NEEDED,1 suppository within the urethra daily as needed,,,,,1,,suppository,0,13,1 suppository,,,,,,,in urethra,14,32,within the urethra,1,,1,,day,,,,,,,,33,38,daily,daily,,,,,,,,,,,1,,39,48,as needed
1 SYRINGE MISCELLANEOUS DAILY,1 syringe miscellaneous daily,,,,,1,,syringe,0,9,1 syringe,,,,,,,miscellaneous,10,23,miscellaneous,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
1-2 PUFFS AS NEEDED,1-2 puffs as needed,,,,,1,2,puff,0,8,1-2 puff,,,,,,,via inhalation,4,9,puffs,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,19,as needed
15 MILLILITERS ON THE MUCOUS MEMBRANES TWICE A DAY,15 milliliters on the mucous membranes twice a day,,,,,15,,mL,0,13,15 milliliter,,,,,,,to mucous membrane,15,38,on the mucous membranes,2,,1,,day,,,,,,,,39,50,twice a day,twice daily,,,,,,,,,,,,,,,
15 MILLILITERS ON THE MUCOUS MEMBRANES TWICE A DAY FOR 10 DAYS,15 milliliters on the mucous membranes twice a day for 10 days,,,,,15,,mL,0,13,15 milliliter,,,,,,,to mucous membrane,15,38,on the mucous membranes,2,,1,,day,,,,,,,,39,50,twice a day,twice daily,,,,,10,,day,51,61,10 day,,,,,
15 MILLILITERS ON THE MUCOUS MEMBRANES TWICE A DAY FOR 14 DAYS,15 milliliters on the mucous membranes twice a day for 14 days,,,,,15,,mL,0,13,15 milliliter,,,,,,,to mucous membrane,15,38,on the mucous membranes,2,,1,,day,,,,,,,,39,50,twice a day,twice daily,,,,,14,,day,51,61,14 day,,,,,
15 MILLILITERS ON THE MUCOUS MEMBRANES TWICE A DAY FOR 7 DAYS,15 milliliters on the mucous membranes twice a day for 7 days,,,,,15,,mL,0,13,15 milliliter,,,,,,,to mucous membrane,15,38,on the mucous membranes,2,,1,,day,,,,,,,,39,50,twice a day,twice daily,,,,,7,,day,51,60,7 day,,,,,
