sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,when,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
(also known as imitrex) 1 tablet by mouth at the first sign of symptoms,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(also known as keflex) 4 capsules by mouth one hour prior to dental work,,,,,4,,capsule,22,32, 4 capsule,,,,,,,oral,34,42,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5 ml im as directed,,,,,0.5,,mL,0,6,0.5 ml,,,,,,,intramuscular,7,9,im,,,,,,,,,,,,,,10,21,as directed,,,,,,,,,,,,
1 (one) tablet by mouth as directed,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,,,,,,,,,,,,,,24,35,as directed,,,,,,,,,,,,
1 (one) tablet by mouth at the first sign of symptoms,,,,,1,,tablet,1,11, (one) tab,,,,,,,oral,15,23,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 a day,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,,4,7,day,daily,,,,,,,,,,,
1 dose x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 po day,,,,,,,,,,,,,,,,,oral,2,4,po,1,,1,,day,,,,,,,,,5,8,day,daily,,,,,,,,,,,
1 tab dialy,,,,,1,,tablet,0,5,1 tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 tablet a day,,,,,1,,tablet,0,5,1 tab,,,,,,,,,,,1,,1,,day,,,,,,,,,11,14,day,daily,,,,,,,,,,,
1 tablet by mouth 1x day,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,1,,1,,day,,,,,,,,,18,24,1x day,daily,,,,,,,,,,,
1 tablet by mouth at the first sign of symptoms,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 tablet by mouth dialy,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 tablet by mouth per day,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,1,,1,,day,,,,,,,,,22,25,day,daily,,,,,,,,,,,
1 tablet per day,,,,,1,,tablet,0,5,1 tab,,,,,,,,,,,1,,1,,day,,,,,,,,,13,16,day,daily,,,,,,,,,,,
"1 tablet today, repeat in 3 days if needed to treat yeast infection",,,,,1,,tablet,0,5,1 tab,,,,,,,,,,,1,,1,,day,,,,,,,,,11,14,day,daily,,,,,,,,,,,
1 time a day,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,,9,12,day,daily,,,,,,,,,,,
1 time a day by mouth,,,,,,,,,,,,,,,,,oral,13,21,by mouth,1,,1,,day,,,,,,,,,9,12,day,daily,,,,,,,,,,,
1 x d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 x day,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,,0,7,1 x day,daily,,,,,,,,,,,
10 mg 1 x day,,,,,,,,,,,10,,mg,0,5,10 mg,,,,,1,,1,,day,,,,,,,,,6,13,1 x day,daily,,,,,,,,,,,
10 mg 1xday,,,,,,,,,,,10,,mg,0,5,10 mg,,,,,1,,1,,day,,,,,,,,,6,11,1xday,daily,,,,,,,,,,,
10 mg by mouth 1 time a day,,,,,,,,,,,10,,mg,0,5,10 mg,oral,6,14,by mouth,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
10 mg one tablet by mouth per day,,,,,1,,tablet,5,13, one tab,10,,mg,0,5,10 mg,oral,17,25,by mouth,1,,1,,day,,,,,,,,,30,33,day,daily,,,,,,,,,,,
10 mg take one tablet a day,take,6,10,take,1,,tablet,10,18, one tab,10,,mg,0,5,10 mg,,,,,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
100 mg 1xday,,,,,,,,,,,100,,mg,0,6,100 mg,,,,,1,,1,,day,,,,,,,,,7,12,1xday,daily,,,,,,,,,,,
100 mg one tablet by mouth per day,,,,,1,,tablet,6,14, one tab,100,,mg,0,6,100 mg,oral,18,26,by mouth,1,,1,,day,,,,,,,,,31,34,day,daily,,,,,,,,,,,
100 mg take one tablet a day,take,7,11,take,1,,tablet,11,19, one tab,100,,mg,0,6,100 mg,,,,,1,,1,,day,,,,,,,,,25,28,day,daily,,,,,,,,,,,
100 mg takes as directed,,,,,,,,,,,100,,mg,0,6,100 mg,,,,,,,,,,,,,,,,,,13,24,as directed,,,,,,,,,,,,
10mg 1 po day,,,,,,,,,,,10,,mg,0,4,10mg,oral,7,9,po,1,,1,,day,,,,,,,,,10,13,day,daily,,,,,,,,,,,
10mg one a day,,,,,,,,,,,10,,mg,0,4,10mg,,,,,1,,1,,day,,,,,,,,,11,14,day,daily,,,,,,,,,,,
150mg im q 12 wks,,,,,,,,,,,150,,mg,0,5,150mg,intramuscular,6,8,im,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-7 unit sub cutaneous ad lib,,,,,,,,,,,1,7,units,0,8,1-7 unit,subcutaneous,9,22,sub cutaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1xday,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,,0,5,1xday,daily,,,,,,,,,,,
2 a day,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,,4,7,day,daily,,,,,,,,,,,
20 mg 1 x day,,,,,,,,,,,20,,mg,0,5,20 mg,,,,,1,,1,,day,,,,,,,,,6,13,1 x day,daily,,,,,,,,,,,
20 mg 1xday,,,,,,,,,,,20,,mg,0,5,20 mg,,,,,1,,1,,day,,,,,,,,,6,11,1xday,daily,,,,,,,,,,,
20 mg by mouth 1 time a day,,,,,,,,,,,20,,mg,0,5,20 mg,oral,6,14,by mouth,1,,1,,day,,,,,,,,,24,27,day,daily,,,,,,,,,,,
