sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
take 1-2 tablets by mouth bid prn pain,take,0,4,take,1,2,tablet,4,16, 1-2 tablets,,,,,,,by mouth,17,25,by mouth,2,,1,,day,,,,,,,,26,29,bid,twice daily,,,,,,,,,,,1,pain,30,38,prn pain
prn (pain score 1-3) or respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain score 1-3,respiratory distress",0,44,prn (pain score 1-3) or respiratory distress
prn (pain score > = 4-6) or respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain,respiratory distress",0,48,prn (pain score > = 4-6) or respiratory distress
prn pain >= 1-5 on 1-10 scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score greater than or equal to 1-5,0,29,prn pain >= 1-5 on 1-10 scale
prn acute pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,acute pain,0,14,prn acute pain
"prn after reaching goal cpot, maintain cpot less than or equal to 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,67,"prn after reaching goal cpot, maintain cpot less than or equal to 3"
"prn agitation/discomfort as determined by nursing, keeping in mind his o2 status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"agitation,discomfort",0,80,"prn agitation/discomfort as determined by nursing, keeping in mind his o2 status"
prn any level of pain--do not use if patient has significant hepatic disease,use,30,33,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,any level of pain,0,76,prn any level of pain--do not use if patient has significant hepatic disease
prn background pain rated 3-6 on pain scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain score 3-6,pain",0,43,prn background pain rated 3-6 on pain scale
prn background pain rated 7-10 on pain scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain score 7-10,pain",0,44,prn background pain rated 7-10 on pain scale
prn breakthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,16,prn breakthrough
prn extra analgesia during sedation for burn dressing change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"sedation,dressing change",0,60,prn extra analgesia during sedation for burn dressing change
prn first line for pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain,0,23,prn first line for pain
prn for breakthrough pain greater than 7/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,breakthrough pain score greater than 7/10,0,43,prn for breakthrough pain greater than 7/10
prn for breakthrough pain not releaved by oral medication score 5-10,,,,,,,,,,,,,,,,,by mouth,42,46,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,1,breakthrough pain,0,68,prn for breakthrough pain not releaved by oral medication score 5-10
prn for breakthrough pain not relieved by po dilaudid,,,,,,,,,,,,,,,,,by mouth,42,44,po,,,,,,,,,,,,,,,,,,,,,,,,,,,1,breakthrough pain,0,53,prn for breakthrough pain not relieved by po dilaudid
prn for breakthrough pain or unable to take oral medication ; for pain score 7-10,take,39,43,take,,,,,,,,,,,,,by mouth,44,48,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"breakthrough pain,pain score 7-10",0,81,prn for breakthrough pain or unable to take oral medication ; for pain score 7-10
prn for dressing change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dressing change,0,23,prn for dressing change
prn for fever greater than of equal to 101 degrees f (38.3 degrees c) if not responsive to 325 mg dose,,,,,,,,,,,325,,mg,90,97, 325 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,fever,0,102,prn for fever greater than of equal to 101 degrees f (38.3 degrees c) if not responsive to 325 mg dose
prn for md use for dht placement,use,11,14,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,32,prn for md use for dht placement
prn for pain >1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score greater than 1/10,0,18,prn for pain >1/10
"prn for pain score 3-6, may give additional 5 mg dose if pain score is still 3-6 after 30 mins",give,28,32,give,,,,,,,5,,mg,43,48, 5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain score 3-6,pain",0,94,"prn for pain score 3-6, may give additional 5 mg dose if pain score is still 3-6 after 30 mins"
prn for pain score 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pain score 7-10,0,23,prn for pain score 7-10
prn for pain unrelieved by po medications or unable to take po (pain scale greater than 7-10),take,55,59,take,,,,,,,,,,,,,by mouth,27,29,po,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain unrelieved by PO medications,pain score greater than 7-10,unable to take po",0,93,prn for pain unrelieved by po medications or unable to take po (pain scale greater than 7-10)
prn for post-op pain 1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,post-operative pain score 1-4,0,24,prn for post-op pain 1-4
prn give for pain score 4/10; may give additional 5 mg dose if pain score is > 8 after 30 minutes,give,4,8,give,,,,,,,5,,mg,49,54, 5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pain score 4/10,pain",0,97,prn give for pain score 4/10; may give additional 5 mg dose if pain score is > 8 after 30 minutes
prn hold for sedation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,sedation,0,21,prn hold for sedation
prn lower back pain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,lower back pain,0,20,prn lower back pain.
