sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,when,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
1 tablet by mouth daily,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,1,,1,,day,,,,,,,,,18,23,daily,daily,,,,,,,,,,,
1 tablet by mouth twice a day,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,2,,1,,day,,,,,,,,,18,29,twice a day,twice daily,,,,,,,,,,,
1 capsule by mouth daily,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,1,,1,,day,,,,,,,,,19,24,daily,daily,,,,,,,,,,,
1 tab by mouth daily,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,6,14,by mouth,1,,1,,day,,,,,,,,,15,20,daily,daily,,,,,,,,,,,
1 tablet by mouth every evening at bedtime,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,1,,1,,day,,,,,in the evening,,,,18,31,every evening,daily in the evening,,,,,,,,,,,
one tablet by mouth daily,,,,,1,,tablet,0,7,one tab,,,,,,,oral,11,19,by mouth,1,,1,,day,,,,,,,,,20,25,daily,daily,,,,,,,,,,,
by mouth as needed,,,,,,,,,,,,,,,,,oral,0,8,by mouth,,,,,,,,,,,,,,,,,,,,,,,,1,,9,18,as needed
1 capsule by mouth twice a day,,,,,1,,capsule,0,9,1 capsule,,,,,,,oral,10,18,by mouth,2,,1,,day,,,,,,,,,19,30,twice a day,twice daily,,,,,,,,,,,
(Also Known As Norvasc) 1 tablet by mouth daily,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,1,,1,,day,,,,,,,,,42,47,daily,daily,,,,,,,,,,,
2 puffs from the inhaler twice a day,,,,,2,,pressurised inhalation,0,6,2 puff,,,,,,,,,,,2,,1,,day,,,,,,,,,25,36,twice a day,twice daily,,,,,,,,,,,
(Also Known As Lipitor) 1 tablet by mouth daily,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,1,,1,,day,,,,,,,,,42,47,daily,daily,,,,,,,,,,,
one by mouth daily,,,,,,,,,,,,,,,,,oral,4,12,by mouth,1,,1,,day,,,,,,,,,13,18,daily,daily,,,,,,,,,,,
10mg by mouth daily,,,,,,,,,,,10,,mg,0,4,10mg,oral,5,13,by mouth,1,,1,,day,,,,,,,,,14,19,daily,daily,,,,,,,,,,,
(Also Known As Prilosec) 1 capsule by mouth daily,,,,,1,,capsule,24,34, 1 capsule,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,44,49,daily,daily,,,,,,,,,,,
20mg by mouth daily,,,,,,,,,,,20,,mg,0,4,20mg,oral,5,13,by mouth,1,,1,,day,,,,,,,,,14,19,daily,daily,,,,,,,,,,,
2 spray in each nostril daily,spray,2,7,spray,2,,spray dose form,0,7,2 spray,,,,,,,nasal route,8,23,in each nostril,1,,1,,day,,,,,,,,,24,29,daily,daily,,,,,,,,,,,
1 tablet by mouth three times a day,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,3,,1,,day,,,,,,,,,18,35,three times a day,3 times per day,,,,,,,,,,,
81mg by mouth daily,,,,,,,,,,,81,,mg,0,4,81mg,oral,5,13,by mouth,1,,1,,day,,,,,,,,,14,19,daily,daily,,,,,,,,,,,
2 sprays in each nostril daily,,,,,2,,spray dose form,0,7,2 spray,,,,,,,nasal route,9,24,in each nostril,1,,1,,day,,,,,,,,,25,30,daily,daily,,,,,,,,,,,
40mg by mouth daily,,,,,,,,,,,40,,mg,0,4,40mg,oral,5,13,by mouth,1,,1,,day,,,,,,,,,14,19,daily,daily,,,,,,,,,,,
(Also Known As Lipitor) 1 tablet by mouth every evening at bedtime,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,1,,1,,day,,,,,in the evening,,,,42,55,every evening,daily in the evening,,,,,,,,,,,
2 tablets by mouth daily,,,,,2,,tablet,0,5,2 tab,,,,,,,oral,10,18,by mouth,1,,1,,day,,,,,,,,,19,24,daily,daily,,,,,,,,,,,
1 by mouth daily,,,,,,,,,,,,,,,,,oral,2,10,by mouth,1,,1,,day,,,,,,,,,11,16,daily,daily,,,,,,,,,,,
(Also Known As Mobic) 1 tablet by mouth daily,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,1,,1,,day,,,,,,,,,40,45,daily,daily,,,,,,,,,,,
1 tablet by mouth every 6 hours as needed for pain,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,1,,6,,hour,,,,,,,,,18,30,every 6 hour,every 6 hours,,,,,,,1,pain,32,50,as needed for pain
1 tablet by mouth twice a day for 10 days,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,2,,1,,day,,,,,,,,,18,29,twice a day,twice daily,10,,day,30,40,10 day,,,,,
once daily by mouth,,,,,,,,,,,,,,,,,oral,11,19,by mouth,1,,1,,day,,,,,,,,,0,10,once daily,daily,,,,,,,,,,,
(Also Known As Cozaar) 1 tablet by mouth daily,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,1,,1,,day,,,,,,,,,41,46,daily,daily,,,,,,,,,,,
1 tablet by mouth daily for 28 days,,,,,1,,tablet,0,5,1 tab,,,,,,,oral,9,17,by mouth,1,,1,,day,,,,,,,,,18,23,daily,daily,28,,day,24,34,28 day,,,,,
10mg 1 tablet by mouth daily,,,,,1,,tablet,4,10, 1 tab,10,,mg,0,4,10mg,oral,14,22,by mouth,1,,1,,day,,,,,,,,,23,28,daily,daily,,,,,,,,,,,
(Also Known As Coreg) 1 tablet by mouth twice a day,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,2,,1,,day,,,,,,,,,40,51,twice a day,twice daily,,,,,,,,,,,
1 spray in each nostril daily,spray,2,7,spray,1,,spray dose form,0,7,1 spray,,,,,,,nasal route,8,23,in each nostril,1,,1,,day,,,,,,,,,24,29,daily,daily,,,,,,,,,,,
