sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,when,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
buccal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(also known as nitrostat) 1 tablet between the cheek and gums at the first sign of symptoms as needed for chest pain,,,,,1,,tablet,25,31, 1 tab,,,,,,,buccally,35,61,between the cheek and gums,,,,,,,,,,,,,,,,,,,,,,,,1,"pain,chest pain",92,116,as needed for chest pain
inhalation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(also known as hyper-sal) 4 milliliters from the inhaler twice a day,,,,,4,,mL,25,38, 4 milliliter,,,,,,,,,,,2,,1,,day,,,,,,,,,57,68,twice a day,twice daily,,,,,,,,,,,
(also known as pulmicort) 2 milliliters from the inhaler twice a day,,,,,2,,mL,25,38, 2 milliliter,,,,,,,,,,,2,,1,,day,,,,,,,,,57,68,twice a day,twice daily,,,,,,,,,,,
(pulmicort) 2 milliliters from the inhaler twice a day,,,,,2,,mL,11,24, 2 milliliter,,,,,,,,,,,2,,1,,day,,,,,,,,,43,54,twice a day,twice daily,,,,,,,,,,,
1 (one) puff from the inhaler every 12 hours,,,,,1,,puff,1,12, (one) puff,,,,,,,via inhalation,8,12,puff,1,,12,,hour,,,,,,,,,30,43,every 12 hour,every 12 hours,,,,,,,,,,,
1 (one) puff from the inhaler every 4 hours as needed,,,,,1,,puff,1,12, (one) puff,,,,,,,via inhalation,8,12,puff,1,,4,,hour,,,,,,,,,30,42,every 4 hour,every 4 hours,,,,,,,1,,44,53,as needed
1 (one) puff from the inhaler every 4 hours as needed for shortness of breath,,,,,1,,puff,1,12, (one) puff,,,,,,,via inhalation,8,12,puff,1,,4,,hour,,,,,,,,,30,42,every 4 hour,every 4 hours,,,,,,,1,shortness of breath,44,77,as needed for shortness of breath
1 (one) puff from the inhaler every 4 hours as needed for wheezing,,,,,1,,puff,1,12, (one) puff,,,,,,,via inhalation,8,12,puff,1,,4,,hour,,,,,,,,,30,42,every 4 hour,every 4 hours,,,,,,,1,wheezing,44,66,as needed for wheezing
1 (one) puff from the inhaler every four or six hours as needed,,,,,1,,puff,1,12, (one) puff,,,,,,,via inhalation,8,12,puff,1,,4,6,hour,,,,,,,,,30,52,every four or six hour,every 4-6 hours,,,,,,,1,,54,63,as needed
1 (one) puff from the inhaler twice a day,,,,,1,,puff,1,12, (one) puff,,,,,,,via inhalation,8,12,puff,2,,1,,day,,,,,,,,,30,41,twice a day,twice daily,,,,,,,,,,,
1 (one) puffs from the inhaler twice a day,,,,,1,,puff,1,12, (one) puff,,,,,,,via inhalation,8,13,puffs,2,,1,,day,,,,,,,,,31,42,twice a day,twice daily,,,,,,,,,,,
1 capsule from the inhaler daily,,,,,1,,capsule,0,9,1 capsule,,,,,,,,,,,1,,1,,day,,,,,,,,,27,32,daily,daily,,,,,,,,,,,
1 puff from the inhaler daily,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,1,,day,,,,,,,,,24,29,daily,daily,,,,,,,,,,,
1 puff from the inhaler daily as needed,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,1,,day,,,,,,,,,24,29,daily,daily,,,,,,,1,,30,39,as needed
1 puff from the inhaler every 12 hours,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,12,,hour,,,,,,,,,24,37,every 12 hour,every 12 hours,,,,,,,,,,,
1 puff from the inhaler every 4 hours,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,,hour,,,,,,,,,24,36,every 4 hour,every 4 hours,,,,,,,,,,,
1 puff from the inhaler every 4 hours as needed,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,,hour,,,,,,,,,24,36,every 4 hour,every 4 hours,,,,,,,1,,38,47,as needed
1 puff from the inhaler every 4 hours as needed for cough,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,,hour,,,,,,,,,24,36,every 4 hour,every 4 hours,,,,,,,1,cough,38,57,as needed for cough
1 puff from the inhaler every 4 hours as needed for shortness of breath,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,,hour,,,,,,,,,24,36,every 4 hour,every 4 hours,,,,,,,1,shortness of breath,38,71,as needed for shortness of breath
1 puff from the inhaler every 4 hours as needed for wheezing,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,,hour,,,,,,,,,24,36,every 4 hour,every 4 hours,,,,,,,1,wheezing,38,60,as needed for wheezing
1 puff from the inhaler every 4 hours for 10 days as needed for cough,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,,hour,,,,,,,,,24,36,every 4 hour,every 4 hours,10,,day,38,48,10 day,1,cough,50,69,as needed for cough
1 puff from the inhaler every 4 hours for 7 days as needed for shortness of breath,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,,hour,,,,,,,,,24,36,every 4 hour,every 4 hours,7,,day,38,47,7 day,1,shortness of breath,49,82,as needed for shortness of breath
1 puff from the inhaler every 6 hours,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,6,,hour,,,,,,,,,24,36,every 6 hour,every 6 hours,,,,,,,,,,,
1 puff from the inhaler every 6 hours as needed,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,6,,hour,,,,,,,,,24,36,every 6 hour,every 6 hours,,,,,,,1,,38,47,as needed
1 puff from the inhaler every 6 hours as needed for cough,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,6,,hour,,,,,,,,,24,36,every 6 hour,every 6 hours,,,,,,,1,cough,38,57,as needed for cough
1 puff from the inhaler every 6 hours as needed for shortness of breath,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,6,,hour,,,,,,,,,24,36,every 6 hour,every 6 hours,,,,,,,1,shortness of breath,38,71,as needed for shortness of breath
1 puff from the inhaler every 6 hours as needed for wheezing,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,6,,hour,,,,,,,,,24,36,every 6 hour,every 6 hours,,,,,,,1,wheezing,38,60,as needed for wheezing
1 puff from the inhaler every four or six hours as needed,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,6,hour,,,,,,,,,24,46,every four or six hour,every 4-6 hours,,,,,,,1,,48,57,as needed
1 puff from the inhaler every four or six hours as needed for cough,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,6,hour,,,,,,,,,24,46,every four or six hour,every 4-6 hours,,,,,,,1,cough,48,67,as needed for cough
1 puff from the inhaler every four or six hours as needed for shortness of breath,,,,,1,,puff,0,6,1 puff,,,,,,,via inhalation,2,6,puff,1,,4,6,hour,,,,,,,,,24,46,every four or six hour,every 4-6 hours,,,,,,,1,shortness of breath,48,81,as needed for shortness of breath
