sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,when,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
(acid reducer (famotidine)) 1 tablet by mouth twice a day,,,,,1,,tablet,27,33, 1 tab,,,,,,,oral,37,45,by mouth,2,,1,,day,,,,,,,,,46,57,twice a day,twice daily,,,,,,,,,,,
(aldactone) 1 tablet by mouth at noon every day,,,,,1,,tablet,11,17, 1 tab,,,,,,,oral,21,29,by mouth,1,,1,,day,,,,,,,,,38,47,every day,daily,,,,,,,,,,,
(also known as acid reducer (famotidine)) 1 tablet by mouth daily,,,,,1,,tablet,41,47, 1 tab,,,,,,,oral,51,59,by mouth,1,,1,,day,,,,,,,,,60,65,daily,daily,,,,,,,,,,,
(also known as acid reducer (famotidine)) 1 tablet by mouth twice a day,,,,,1,,tablet,41,47, 1 tab,,,,,,,oral,51,59,by mouth,2,,1,,day,,,,,,,,,60,71,twice a day,twice daily,,,,,,,,,,,
(also known as acid reducer (ranitidine)) 1 tablet by mouth twice a day,,,,,1,,tablet,41,47, 1 tab,,,,,,,oral,51,59,by mouth,2,,1,,day,,,,,,,,,60,71,twice a day,twice daily,,,,,,,,,,,
(also known as acular) 1 drop in the left eye qid beginning 2 days prior to surgery,,,,,1,,drops,22,29, 1 drop,,,,,,,ophthalmic,36,45, left eye,4,,1,,day,,,,,,,,,46,49,qid,4 times per day,,,,,,,,,,,
(also known as acular) 1 drop in the right eye qid beginning 2 days prior to surgery,,,,,1,,drops,22,29, 1 drop,,,,,,,ophthalmic,36,46, right eye,4,,1,,day,,,,,,,,,47,50,qid,4 times per day,,,,,,,,,,,
(also known as adderall) 1 tablet by mouth at noon every day,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,day,,,,,,,,,51,60,every day,daily,,,,,,,,,,,
(also known as aldactone) 1 tablet by mouth at noon every day,,,,,1,,tablet,25,31, 1 tab,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,52,61,every day,daily,,,,,,,,,,,
(also known as aralen) 1 tablet by mouth every week,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,1,,1,,week,,,,,,,,,41,51,every week,every week,,,,,,,,,,,
"(also known as catapres-tts-1) 1 patch on dry, cleaned skin every week",,,,,1,,transdermal patch,30,38, 1 patch,,,,,,,topical,47,59,cleaned skin,1,,1,,week,,,,,,,,,60,70,every week,every week,,,,,,,,,,,
"(also known as catapres-tts-2) 1 patch on dry, cleaned skin every week",,,,,1,,transdermal patch,30,38, 1 patch,,,,,,,topical,47,59,cleaned skin,1,,1,,week,,,,,,,,,60,70,every week,every week,,,,,,,,,,,
"(also known as catapres-tts-3) 1 patch on dry, cleaned skin every week",,,,,1,,transdermal patch,30,38, 1 patch,,,,,,,topical,47,59,cleaned skin,1,,1,,week,,,,,,,,,60,70,every week,every week,,,,,,,,,,,
"(also known as climara) 1 patch on dry, cleaned skin every week",,,,,1,,transdermal patch,23,31, 1 patch,,,,,,,topical,40,52,cleaned skin,1,,1,,week,,,,,,,,,53,63,every week,every week,,,,,,,,,,,
(also known as colestid) 1 tablet by mouth daily,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,day,,,,,,,,,43,48,daily,daily,,,,,,,,,,,
(also known as colestid) 1 tablet by mouth twice a day,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,2,,1,,day,,,,,,,,,43,54,twice a day,twice daily,,,,,,,,,,,
(also known as colestid) 2 tablets by mouth daily,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,1,,1,,day,,,,,,,,,44,49,daily,daily,,,,,,,,,,,
(also known as colestid) 2 tablets by mouth twice a day,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,2,,1,,day,,,,,,,,,44,55,twice a day,twice daily,,,,,,,,,,,
(also known as colestid) 2 tablets by mouth with dinner,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,,,,,,,,,,with dinner,,,,44,55,with dinner, with dinner,,,,,,,,,,,
(also known as coreg) 1 tablet by mouth bid cc,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,2,,1,,day,,,,,,,,,40,43,bid,twice daily,,,,,,,,,,,
(also known as coreg) 1 tablet by mouth bid with meals,,,,,1,,tablet,21,27, 1 tab,,,,,,,oral,31,39,by mouth,2,,1,,day,,,,,,,,,40,43,bid,twice daily,,,,,,,,,,,
(also known as cozaar) 1 tablet by mouth at noon every day,,,,,1,,tablet,22,28, 1 tab,,,,,,,oral,32,40,by mouth,1,,1,,day,,,,,,,,,49,58,every day,daily,,,,,,,,,,,
(also known as d3-50 cholecalciferol) 1 capsule by mouth every week,,,,,1,,capsule,37,47, 1 capsule,,,,,,,oral,48,56,by mouth,1,,1,,week,,,,,,,,,57,67,every week,every week,,,,,,,,,,,
(also known as d3-50 cholecalciferol) 1 capsule by mouth every week for 12 weeks,,,,,1,,capsule,37,47, 1 capsule,,,,,,,oral,48,56,by mouth,1,,1,,week,,,,,,,,,57,67,every week,every week,12,,week,68,79,12 week,,,,,
(also known as d3-50 cholecalciferol) 1 capsule by mouth every week for 8 weeks,,,,,1,,capsule,37,47, 1 capsule,,,,,,,oral,48,56,by mouth,1,,1,,week,,,,,,,,,57,67,every week,every week,8,,week,68,78,8 week,,,,,
(also known as diflucan) 1 tablet by mouth every week,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,,,,,,,,,,,
(also known as diflucan) 1 tablet by mouth every week for 14 days,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,14,,day,54,64,14 day,,,,,
(also known as diflucan) 1 tablet by mouth every week for 3 weeks,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,3,,week,54,64,3 week,,,,,
(also known as diflucan) 1 tablet by mouth every week for 4 weeks,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,4,,week,54,64,4 week,,,,,
(also known as diflucan) 1 tablet by mouth every week for 6 months,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,6,,month,54,65,6 month,,,,,
(also known as diflucan) 2 tablets by mouth every week,,,,,2,,tablet,24,30, 2 tab,,,,,,,oral,35,43,by mouth,1,,1,,week,,,,,,,,,44,54,every week,every week,,,,,,,,,,,
(also known as drisdol) 1 capsule by mouth every week for 8 weeks,,,,,1,,capsule,23,33, 1 capsule,,,,,,,oral,34,42,by mouth,1,,1,,week,,,,,,,,,43,53,every week,every week,8,,week,54,64,8 week,,,,,
(also known as focalin) 1 tablet by mouth at noon every day,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,1,,1,,day,,,,,,,,,50,59,every day,daily,,,,,,,,,,,
(also known as fosamax) 1 tablet by mouth every week,,,,,1,,tablet,23,29, 1 tab,,,,,,,oral,33,41,by mouth,1,,1,,week,,,,,,,,,42,52,every week,every week,,,,,,,,,,,
(also known as glucophage) 1 tablet by mouth bid cc,,,,,1,,tablet,26,32, 1 tab,,,,,,,oral,36,44,by mouth,2,,1,,day,,,,,,,,,45,48,bid,twice daily,,,,,,,,,,,
(also known as lithobid) 1 tablet by mouth every evening at bedtime,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,1,,1,,day,,,,,in the evening at bedtime,,,,43,67,every evening at bedtime,daily in the evening at bedtime,,,,,,,,,,,
(also known as lithobid) 1 tablet by mouth twice a day,,,,,1,,tablet,24,30, 1 tab,,,,,,,oral,34,42,by mouth,2,,1,,day,,,,,,,,,43,54,twice a day,twice daily,,,,,,,,,,,
