sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
? mg 1 tablet by mouth daily,,,,,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
?mg 1 po daily,,,,,,,,,,,,,,,,,by mouth,6,8,po,1,,1,,day,,,,,,,,9,14,daily,daily,,,,,,,,,,,,,,,
?mg 1 tab by mouth daily,,,,,1,,tablet,3,9, 1 tab,,,,,,,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,24,daily,daily,,,,,,,,,,,,,,,
?mg 1 tablet by mouth daily,,,,,1,,tablet,3,12, 1 tablet,,,,,,,by mouth,13,21,by mouth,1,,1,,day,,,,,,,,22,27,daily,daily,,,,,,,,,,,,,,,
?mg 1 tablet po daily,,,,,1,,tablet,3,12, 1 tablet,,,,,,,by mouth,13,15,po,1,,1,,day,,,,,,,,16,21,daily,daily,,,,,,,,,,,,,,,
?mg by mouth as needed,,,,,,,,,,,,,,,,,by mouth,4,12,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13,22,as needed
?mg by mouth daily,,,,,,,,,,,,,,,,,by mouth,4,12,by mouth,1,,1,,day,,,,,,,,13,18,daily,daily,,,,,,,,,,,,,,,
?mg one tab by mouth daily,,,,,1,,tablet,3,11, one tab,,,,,,,by mouth,12,20,by mouth,1,,1,,day,,,,,,,,21,26,daily,daily,,,,,,,,,,,,,,,
?mg one tablet by mouth daily,,,,,1,,tablet,3,14, one tablet,,,,,,,by mouth,15,23,by mouth,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
?mg orally daily,,,,,,,,,,,,,,,,,by mouth,4,10,orally,1,,1,,day,,,,,,,,11,16,daily,daily,,,,,,,,,,,,,,,
?mg po daily,,,,,,,,,,,,,,,,,by mouth,4,6,po,1,,1,,day,,,,,,,,7,12,daily,daily,,,,,,,,,,,,,,,
?mg po prn,,,,,,,,,,,,,,,,,by mouth,4,6,po,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,10,prn
?mg tablets take 1 tablet by mouth daily,take,12,16,take,1,,tablet,16,25, 1 tablet,,,,,,,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
.05mg daily,,,,,,,,,,,0.05,,mg,0,5,.05mg,,,,,1,,1,,day,,,,,,,,6,11,daily,daily,,,,,,,,,,,,,,,
.125mg daily,,,,,,,,,,,0.125,,mg,0,6,.125mg,,,,,1,,1,,day,,,,,,,,7,12,daily,daily,,,,,,,,,,,,,,,
.25mg as needed,,,,,,,,,,,0.25,,mg,0,5,.25mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,15,as needed
.25mg daily,,,,,,,,,,,0.25,,mg,0,5,.25mg,,,,,1,,1,,day,,,,,,,,6,11,daily,daily,,,,,,,,,,,,,,,
.4mg daily,,,,,,,,,,,0.4,,mg,0,4,.4mg,,,,,1,,1,,day,,,,,,,,5,10,daily,daily,,,,,,,,,,,,,,,
.5 mg daily,,,,,,,,,,,0.5,,mg,0,5,.5 mg,,,,,1,,1,,day,,,,,,,,6,11,daily,daily,,,,,,,,,,,,,,,
.5 tablet by mouth daily,,,,,0.5,,tablet,0,9,.5 tablet,,,,,,,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,24,daily,daily,,,,,,,,,,,,,,,
.5mg as needed,,,,,,,,,,,0.5,,mg,0,4,.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,14,as needed
.5mg by mouth daily,,,,,,,,,,,0.5,,mg,0,4,.5mg,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
.5mg daily,,,,,,,,,,,0.5,,mg,0,4,.5mg,,,,,1,,1,,day,,,,,,,,5,10,daily,daily,,,,,,,,,,,,,,,
.5mg once daily,,,,,,,,,,,0.5,,mg,0,4,.5mg,,,,,1,,1,,day,,,,,,,,5,15,once daily,daily,,,,,,,,,,,,,,,
.5mg prn,,,,,,,,,,,0.5,,mg,0,4,.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,8,prn
? dosage 1 tab po qd,,,,,1,,tablet,8,14, 1 tab,,,,,,,by mouth,15,17,po,1,,1,,day,,,,,,,,18,20,qd,daily,,,,,,,,,,,,,,,
?mg 1 tab by mouth daily,,,,,1,,tablet,3,9, 1 tab,,,,,,,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,24,daily,daily,,,,,,,,,,,,,,,
1 tablet by mouth once daily,,,,,1,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,28,once daily,daily,,,,,,,,,,,,,,,
accupril 1 tablet by mouth daily,,,,,1,,tablet,8,17, 1 tablet,,,,,,,by mouth,18,26,by mouth,1,,1,,day,,,,,,,,27,32,daily,daily,,,,,,,,,,,,,,,
accupril 1 tablet by mouth twice a day,,,,,1,,tablet,8,17, 1 tablet,,,,,,,by mouth,18,26,by mouth,2,,1,,day,,,,,,,,27,38,twice a day,twice daily,,,,,,,,,,,,,,,
acid reducer famotidine 1 tablet by mouth twice a day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,,,,,,,,,,,,,,,
actigall 1 capsule by mouth twice a day,,,,,1,,capsule,8,18, 1 capsule,,,,,,,by mouth,19,27,by mouth,2,,1,,day,,,,,,,,28,39,twice a day,twice daily,,,,,,,,,,,,,,,
adderall xr 1 capsule by mouth daily,,,,,1,,capsule,11,21, 1 capsule,,,,,,,by mouth,22,30,by mouth,1,,1,,day,,,,,,,,31,36,daily,daily,,,,,,,,,,,,,,,
adderall xr 1 capsule by mouth every morning,,,,,1,,capsule,11,21, 1 capsule,,,,,,,by mouth,22,30,by mouth,1,,1,,day,,,,,,,,31,44,every morning,daily,in the morning,31,44,every morning,,,,,,,,,,,
adipex-p 1 capsule by mouth daily,,,,,1,,capsule,8,18, 1 capsule,,,,,,,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,28,33,daily,daily,,,,,,,,,,,,,,,
adipex-p 1 tablet by mouth daily,,,,,1,,tablet,8,17, 1 tablet,,,,,,,by mouth,18,26,by mouth,1,,1,,day,,,,,,,,27,32,daily,daily,,,,,,,,,,,,,,,
aldactazide 1 tablet by mouth daily,,,,,1,,tablet,11,20, 1 tablet,,,,,,,by mouth,21,29,by mouth,1,,1,,day,,,,,,,,30,35,daily,daily,,,,,,,,,,,,,,,
aldactone 0.5 tablet by mouth daily,,,,,0.5,,tablet,9,20, 0.5 tablet,,,,,,,by mouth,21,29,by mouth,1,,1,,day,,,,,,,,30,35,daily,daily,,,,,,,,,,,,,,,
aldactone 1 tablet by mouth at noon every day,,,,,1,,tablet,9,18, 1 tablet,,,,,,,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,36,45,every day,daily,,,,,,,,,,,,,,,
aldactone 1 tablet by mouth daily,,,,,1,,tablet,9,18, 1 tablet,,,,,,,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,28,33,daily,daily,,,,,,,,,,,,,,,
aldactone 1 tablet by mouth every morning,,,,,1,,tablet,9,18, 1 tablet,,,,,,,by mouth,19,27,by mouth,1,,1,,day,,,,,,,,28,41,every morning,daily,in the morning,28,41,every morning,,,,,,,,,,,
aldactone 1 tablet by mouth twice a day,,,,,1,,tablet,9,18, 1 tablet,,,,,,,by mouth,19,27,by mouth,2,,1,,day,,,,,,,,28,39,twice a day,twice daily,,,,,,,,,,,,,,,
aldactone 2 tablets by mouth daily,,,,,2,,tablet,9,19, 2 tablets,,,,,,,by mouth,20,28,by mouth,1,,1,,day,,,,,,,,29,34,daily,daily,,,,,,,,,,,,,,,
allegra 1 tablet by mouth daily,,,,,1,,tablet,7,16, 1 tablet,,,,,,,by mouth,17,25,by mouth,1,,1,,day,,,,,,,,26,31,daily,daily,,,,,,,,,,,,,,,
allegra 1 tablet by mouth daily as needed,,,,,1,,tablet,7,16, 1 tablet,,,,,,,by mouth,17,25,by mouth,1,,1,,day,,,,,,,,26,31,daily,daily,,,,,,,,,,,1,,32,41,as needed
