original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
TAKE 1 capsule(s) by oral route every 12 hours,take 1 capsules by oral route every 12 hours,take,0,4,take,1,,capsule,4,15, 1 capsules,,,,,,,by mouth,19,23,oral,1,,12,,hour,,,,,,,,30,43,every 12 hour,every 12 hours,,,,,,,,,,,,,,,
 Dissolve 1 lozenge by mouth every 2 hr as needed.,dissolve 1 lozenge by mouth every 2 hr as needed,dissolve,0,8,dissolve,1,,lozenge,8,18, 1 lozenge,,,,,,,by mouth,19,27,by mouth,1,,2,,hour,,,,,,,,28,38,every 2 hr,every 2 hours,,,,,,,,,,,1,,39,48,as needed
1 drop in each eye 3 times a day for glaucoma,1 drop in each eye 3 times a day for glaucoma,,,,,1,,drops,0,6,1 drop,,,,,,,in both eyes,7,18,in each eye,3,,1,,day,,,,,,,,19,32,3 times a day,3 times per day,,,,,,,,,,,,,,,
1 drop in each eye twice a day as needed for allergy symptoms,1 drop in each eye twice a day as needed for allergy symptoms,,,,,1,,drops,0,6,1 drop,,,,,,,in both eyes,7,18,in each eye,2,,1,,day,,,,,,,,19,30,twice a day,twice daily,,,,,,,,,,,1,allergy,31,61,as needed for allergy symptoms
1 pill by mouth at the first sign of yeast. Repeat the dose in 3 days if symptoms persist.,1 pill by mouth at the first sign of yeast repeat the dose in 3 days if symptoms persist,,,,,1,,pill,0,6,1 pill,,,,,,,by mouth,7,15,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 pill by mouth daily as a vitamin supplement,1 pill by mouth daily as a vitamin supplement,,,,,1,,pill,0,6,1 pill,,,,,,,by mouth,7,15,by mouth,1,,1,,day,,,,,,,,16,21,daily,daily,,,,,,,,,,,,,,,
1 pill by mouth daily for high blood pressure,1 pill by mouth daily for high blood pressure,,,,,1,,pill,0,6,1 pill,,,,,,,by mouth,7,15,by mouth,1,,1,,day,,,,,,,,16,21,daily,daily,,,,,,,,,,,,,,,
1 pill by mouth twice a day as needed for severe pain.,1 pill by mouth twice a day as needed for severe pain,,,,,1,,pill,0,6,1 pill,,,,,,,by mouth,7,15,by mouth,2,,1,,day,,,,,,,,16,27,twice a day,twice daily,,,,,,,,,,,1,severe pain,28,53,as needed for severe pain
1 pill by mouth up to twice a day as needed for severe pain,1 pill by mouth up to twice a day as needed for severe pain,,,,,1,,pill,0,6,1 pill,,,,,,,by mouth,7,15,by mouth,2,,1,,day,,,,,,,,22,33,twice a day,twice daily,,,,,,,,,,,1,severe pain,34,59,as needed for severe pain
1/2 pill by mouth up to 2 times a day as needed for severe pain.,1/2 pill by mouth up to 2 times a day as needed for severe pain,,,,,0.5,,pill,0,8,1/2 pill,,,,,,,by mouth,9,17,by mouth,2,,1,,day,,,,,,,,24,37,2 times a day,twice daily,,,,,,,,,,,1,severe pain,38,63,as needed for severe pain
1000 mcg/mL injection once a week for 4 weeks beginning 03/18/2019,1000 mcg/ml injection once a week for 4 weeks beginning 03/18/2019,,,,,,,,,,,1000,,mcg,0,8,1000 mcg,via injection,12,21,injection,1,,1,,week,,,,,,,,22,33,once a week,every week,,,,,4,,week,34,44,4 week,,,,,
2 pills by mouth every 6 hours as needed for pain or fever,2 pills by mouth every 6 hours as needed for pain or fever,,,,,2,,pill,0,6,2 pill,,,,,,,by mouth,8,16,by mouth,1,,6,,hour,,,,,,,,17,29,every 6 hour,every 6 hours,,,,,,,,,,,1,"pain,fever",31,58,as needed for pain or fever
APPLY 1 application(s) by topical route 2 times a day,apply 1 applications by topical route 2 times a day,apply,0,5,apply,1,,application,5,19, 1 application,,,,,,,topically,24,31,topical,2,,1,,day,,,,,,,,38,51,2 times a day,twice daily,,,,,,,,,,,,,,,
APPLY 1 CM RIBBON INTO THE LOWER CONJUNCTIVAL SAC(S) IN THE AFFECTED EYE(S) 3 TIMES PER DAY,apply 1 cm ribbon into the lower conjunctival sacs in the affected eyes 3 times per day,apply,0,5,apply,1,,cm,5,10, 1 cm,,,,,,,in both eyes,67,71,eyes,3,,1,,day,,,,,,,,72,87,3 times per day,3 times per day,,,,,,,,,,,,,,,
Apply 1 drop in both eyes up to 4 times daily if needed for dry eyes,apply 1 drop in both eyes up to 4 times daily if needed for dry eyes,apply,0,5,apply,1,,drops,5,12, 1 drop,,,,,,,in both eyes,13,25,in both eyes,4,,1,,day,,,,,,,,32,45,4 times daily,4 times per day,,,,,,,,,,,,,,,
Apply 1 drop into each eye 4 times daily if needed for dry eyes,apply 1 drop into each eye 4 times daily if needed for dry eyes,apply,0,5,apply,1,,drops,5,12, 1 drop,,,,,,,in both eyes,13,26,into each eye,4,,1,,day,,,,,,,,27,40,4 times daily,4 times per day,,,,,,,,,,,,,,,
APPLY 1 drop(s) by ophthalmic route 3 times a day,apply 1 drops by ophthalmic route 3 times a day,apply,0,5,apply,1,,drops,5,12, 1 drop,,,,,,,in eye(s),17,27,ophthalmic,3,,1,,day,,,,,,,,34,47,3 times a day,3 times per day,,,,,,,,,,,,,,,
APPLY 1 PATCH TO INTACT SKIN ONCE DAILY (MAY WEAR UP TO 12 HOURS.),apply 1 patch to intact skin once daily may wear up to 12 hours,apply,0,5,apply,1,,transdermal patch,5,13, 1 patch,,,,,,,transdermally,8,13,patch,1,,1,,day,,,,,,,,29,39,once daily,daily,,,,,,,,,,,,,,,
"APPLY 1 PATCH TO THE AFFECTED AREA ONCE DAILY (MAY WEAR UP TO 12 HOURS, PATCH MAY BE CUT TO COVER MULTIPLE AREAS)",apply 1 patch to the affected area once daily may wear up to 12 hours patch may be cut to cover multiple areas,apply,0,5,apply,1,,transdermal patch,5,13, 1 patch,,,,,,,transdermally,8,13,patch,1,,1,,day,,,,,,,,35,45,once daily,daily,,,,,,,,,,,,,,,
APPLY 2 drop(s) by ophthalmic route every day,apply 2 drops by ophthalmic route every day,apply,0,5,apply,2,,drops,5,12, 2 drop,,,,,,,in eye(s),17,27,ophthalmic,1,,1,,day,,,,,,,,34,43,every day,daily,,,,,,,,,,,,,,,
APPLY 2 GRAM TO THE AFFECTED AREA(S) BY TOPICAL ROUTE 4 TIMES PER DAY,apply 2 gram to the affected areas by topical route 4 times per day,apply,0,5,apply,,,,,,,2,,g,5,12, 2 gram,topically,38,45,topical,4,,1,,day,,,,,,,,52,67,4 times per day,4 times per day,,,,,,,,,,,,,,,
APPLY A SMALL AMOUNT TO THE AFFECTED AREA BY TOPICAL ROUTE 2 TIMES PER DAY FOR 7 DAYS,apply a small amount to the affected area by topical route 2 times per day for 7 days,apply,0,5,apply,,,,,,,,,,,,,topically,45,52,topical,2,,1,,day,,,,,,,,59,74,2 times per day,twice daily,,,,,7,,day,75,84,7 day,,,,,
Apply a thin layer to affected area 3-4 times daily as needed,apply a thin layer to affected area 3-4 times daily as needed,apply,0,5,apply,,,,,,,,,,,,,topically,19,35,to affected area,3,4,1,,day,,,,,,,,36,51,3-4 times daily,3-4 times per day,,,,,,,,,,,1,,52,61,as needed
APPLY A THIN LAYER TO THE AFFECTED AREA(S) BY TOPICAL ROUTE 2 TIMES PER DAY,apply a thin layer to the affected areas by topical route 2 times per day,apply,0,5,apply,,,,,,,,,,,,,topically,44,51,topical,2,,1,,day,,,,,,,,58,73,2 times per day,twice daily,,,,,,,,,,,,,,,
APPLY A THIN LAYER TO THE AFFECTED AREA(S) BY TOPICAL ROUTE twice DAILY after applyng antibiotic cream.,apply a thin layer to the affected areas by topical route twice daily after applyng antibiotic cream,apply,0,5,apply,,,,,,,,,,,,,topically,44,51,topical,2,,1,,day,,,,,,,,58,69,twice daily,twice daily,,,,,,,,,,,,,,,
APPLY A THIN LAYER TO THE AFFECTED AREA(S) ONCE DAILY ; DO NOT EXCEED 50 GRAMS PER WEEK. MAX 2 weeks.,apply a thin layer to the affected areas once daily do not exceed 50 grams per week max 2 weeks,apply,0,5,apply,,,,,,,50,,g,66,74,50 grams,,,,,1,,1,,day,,,,,,,,41,51,once daily,daily,,,,,2,,week,86,94,2 week,,,,,
APPLY A THIN LAYER TO THE AFFECTED SKIN 2 TIMES PER DAY,apply a thin layer to the affected skin 2 times per day,apply,0,5,apply,,,,,,,,,,,,,,,,,2,,1,,day,,,,,,,,40,55,2 times per day,twice daily,,,,,,,,,,,,,,,
