original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
? MG 1 TABLET BY MOUTH DAILY,? mg 1 tablet by mouth daily,,,,,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
?MG 1 PO DAILY,?mg 1 po daily,,,,,,,,,,,,,,,,,by mouth,6,8,po,1,,1,,day,,,,,,,,9,14,daily,daily,,,,,,,,,,,,,,,
?MG 1 TAB BY MOUTH DAILY,?mg 1 tab by mouth daily,,,,,1,,tablet,3,9, 1 tab,,,,,,,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,24,daily,daily,,,,,,,,,,,,,,,
?MG 1 TABLET BY MOUTH DAILY,?mg 1 tablet by mouth daily,,,,,1,,tablet,3,12, 1 tablet,,,,,,,by mouth,13,21,by mouth,1,,1,,day,,,,,,,,22,27,daily,daily,,,,,,,,,,,,,,,
?MG 1 TABLET PO DAILY,?mg 1 tablet po daily,,,,,1,,tablet,3,12, 1 tablet,,,,,,,by mouth,13,15,po,1,,1,,day,,,,,,,,16,21,daily,daily,,,,,,,,,,,,,,,
?MG BY MOUTH AS NEEDED,?mg by mouth as needed,,,,,,,,,,,,,,,,,by mouth,4,12,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13,22,as needed
?MG BY MOUTH DAILY,?mg by mouth daily,,,,,,,,,,,,,,,,,by mouth,4,12,by mouth,1,,1,,day,,,,,,,,13,18,daily,daily,,,,,,,,,,,,,,,
?MG ONE TAB BY MOUTH DAILY,?mg one tab by mouth daily,,,,,1,,tablet,3,11, one tab,,,,,,,by mouth,12,20,by mouth,1,,1,,day,,,,,,,,21,26,daily,daily,,,,,,,,,,,,,,,
?MG ONE TABLET BY MOUTH DAILY,?mg one tablet by mouth daily,,,,,1,,tablet,3,14, one tablet,,,,,,,by mouth,15,23,by mouth,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
?MG ORALLY DAILY,?mg orally daily,,,,,,,,,,,,,,,,,by mouth,4,10,orally,1,,1,,day,,,,,,,,11,16,daily,daily,,,,,,,,,,,,,,,
?MG PO DAILY,?mg po daily,,,,,,,,,,,,,,,,,by mouth,4,6,po,1,,1,,day,,,,,,,,7,12,daily,daily,,,,,,,,,,,,,,,
?MG TABLETS TAKE 1 TABLET BY MOUTH DAILY,?mg tablets take 1 tablet by mouth daily,take,12,16,take,1,,tablet,16,25, 1 tablet,,,,,,,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
.05MG DAILY,.05mg daily,,,,,,,,,,,0.05,,mg,0,5,.05mg,,,,,1,,1,,day,,,,,,,,6,11,daily,daily,,,,,,,,,,,,,,,
.125MG DAILY,.125mg daily,,,,,,,,,,,0.125,,mg,0,6,.125mg,,,,,1,,1,,day,,,,,,,,7,12,daily,daily,,,,,,,,,,,,,,,
.25MG AS NEEDED,.25mg as needed,,,,,,,,,,,0.25,,mg,0,5,.25mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,15,as needed
.25MG DAILY,.25mg daily,,,,,,,,,,,0.25,,mg,0,5,.25mg,,,,,1,,1,,day,,,,,,,,6,11,daily,daily,,,,,,,,,,,,,,,
.4MG DAILY,.4mg daily,,,,,,,,,,,0.4,,mg,0,4,.4mg,,,,,1,,1,,day,,,,,,,,5,10,daily,daily,,,,,,,,,,,,,,,
.5 MG DAILY,.5 mg daily,,,,,,,,,,,0.5,,mg,0,5,.5 mg,,,,,1,,1,,day,,,,,,,,6,11,daily,daily,,,,,,,,,,,,,,,
