original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
TAKE 1 TABLET BY MOUTH DAILY,take 1 tablet by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,28,daily,daily,,,,,,,,,,,,,,,
TAKE BY MOUTH,take by mouth,take,0,4,take,,,,,,,,,,,,,by mouth,5,13,by mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKE 1 TABLET (10 MG TOTAL) BY MOUTH DAILY,take 1 tablet 10 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,10,,mg,13,19, 10 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
DAILY,daily,,,,,,,,,,,,,,,,,,,,,1,,1,,day,,,,,,,,0,5,daily,daily,,,,,,,,,,,,,,,
TAKE BY MOUTH DAILY,take by mouth daily,take,0,4,take,,,,,,,,,,,,,by mouth,5,13,by mouth,1,,1,,day,,,,,,,,14,19,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (20 MG TOTAL) BY MOUTH DAILY,take 1 tablet 20 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,20,,mg,13,19, 20 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
TAKE 10 MG BY MOUTH DAILY,take 10 mg by mouth daily,take,0,4,take,,,,,,,10,,mg,4,10, 10 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (5 MG TOTAL) BY MOUTH DAILY,take 1 tablet 5 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,5,,mg,13,18, 5 mg,by mouth,25,33,by mouth,1,,1,,day,,,,,,,,34,39,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (40 MG TOTAL) BY MOUTH DAILY,take 1 tablet 40 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,40,,mg,13,19, 40 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (25 MG TOTAL) BY MOUTH DAILY,take 1 tablet 25 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,25,,mg,13,19, 25 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET BY MOUTH EVERY DAY,take 1 tablet by mouth every day,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,14,22,by mouth,1,,1,,day,,,,,,,,23,32,every day,daily,,,,,,,,,,,,,,,
TAKE 1 TABLET (50 MG TOTAL) BY MOUTH DAILY,take 1 tablet 50 mg total by mouth daily,take,0,4,take,1,,tablet,4,13, 1 tablet,50,,mg,13,19, 50 mg,by mouth,26,34,by mouth,1,,1,,day,,,,,,,,35,40,daily,daily,,,,,,,,,,,,,,,
TAKE 20 MG BY MOUTH DAILY,take 20 mg by mouth daily,take,0,4,take,,,,,,,20,,mg,4,10, 20 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
TAKE 1 CAPSULE BY MOUTH DAILY,take 1 capsule by mouth daily,take,0,4,take,1,,capsule,4,14, 1 capsule,,,,,,,by mouth,15,23,by mouth,1,,1,,day,,,,,,,,24,29,daily,daily,,,,,,,,,,,,,,,
TAKE 40 MG BY MOUTH DAILY,take 40 mg by mouth daily,take,0,4,take,,,,,,,40,,mg,4,10, 40 mg,by mouth,11,19,by mouth,1,,1,,day,,,,,,,,20,25,daily,daily,,,,,,,,,,,,,,,
