original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
110 MCG/ACTUATION AEROSOL INHALER 2 PUFFS FROM THE INHALER TWICE A DAY WITH SPACER,110 mcg/actuation aerosol inhaler 2 puffs from the inhaler twice a day with spacer,,,,,2,,puff,33,40, 2 puff,110,,mcg,0,7,110 mcg,via inhalation,26,33,inhaler,1,,1,,day,,,,,,,,65,70,a day,daily,,,,,,,,,,,,,,,
137 MCG NASAL SPRAY AEROSOL (ALSO KNOWN AS ASTELIN) 2 SPRAYS IN EACH NOSTRIL TWICE A DAY,137 mcg nasal spray aerosol also known as astelin 2 sprays in each nostril twice a day,spray,14,19,spray,2,,spray,49,57, 2 spray,137,,mcg,0,7,137 mcg,in nostril(s),8,13,nasal,1,,1,,day,,,,,,,,81,86,a day,daily,,,,,,,,,,,,,,,
137 MCG NASAL SPRAY AEROSOL (ALSO KNOWN AS ASTELIN) 2 SPRAYS IN EACH NOSTRIL TWICE A DAY AS NEEDED,137 mcg nasal spray aerosol also known as astelin 2 sprays in each nostril twice a day as needed,spray,14,19,spray,2,,spray,49,57, 2 spray,137,,mcg,0,7,137 mcg,in nostril(s),8,13,nasal,1,,1,,day,,,,,,,,81,86,a day,daily,,,,,,,,,,,1,,87,96,as needed
137 MCG NASAL SPRAY AEROSOL (ALSO KNOWN AS ASTELIN) 2 SPRAYS IN EACH NOSTRIL TWICE A DAY PRN,137 mcg nasal spray aerosol also known as astelin 2 sprays in each nostril twice a day prn,spray,14,19,spray,2,,spray,49,57, 2 spray,137,,mcg,0,7,137 mcg,in nostril(s),8,13,nasal,1,,1,,day,,,,,,,,81,86,a day,daily,,,,,,,,,,,1,,87,90,prn
50 MCG 2 SPRAYS EACH NOSTRIL DAILY,50 mcg 2 sprays each nostril daily,,,,,2,,spray,6,14, 2 spray,50,,mcg,0,6,50 mcg,in each nostril,16,28,each nostril,1,,1,,day,,,,,,,,29,34,daily,daily,,,,,,,,,,,,,,,
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL DAILY",50 mcg/actuation nasal spray susp also known as flonase 1 spray in each nostril daily,spray,23,28,spray,1,,spray,55,63, 1 spray,50,,mcg,0,6,50 mcg,in nostril(s),17,22,nasal,1,,1,,day,,,,,,,,80,85,daily,daily,,,,,,,,,,,,,,,
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL DAILY AS NEEDED",50 mcg/actuation nasal spray susp also known as flonase 1 spray in each nostril daily as needed,spray,23,28,spray,1,,spray,55,63, 1 spray,50,,mcg,0,6,50 mcg,in nostril(s),17,22,nasal,1,,1,,day,,,,,,,,80,85,daily,daily,,,,,,,,,,,1,,86,95,as needed
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL TWICE A DAY",50 mcg/actuation nasal spray susp also known as flonase 1 spray in each nostril twice a day,spray,23,28,spray,1,,spray,55,63, 1 spray,50,,mcg,0,6,50 mcg,in nostril(s),17,22,nasal,1,,1,,day,,,,,,,,86,91,a day,daily,,,,,,,,,,,,,,,
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL TWICE A DAY AS NEEDED",50 mcg/actuation nasal spray susp also known as flonase 1 spray in each nostril twice a day as needed,spray,23,28,spray,1,,spray,55,63, 1 spray,50,,mcg,0,6,50 mcg,in nostril(s),17,22,nasal,1,,1,,day,,,,,,,,86,91,a day,daily,,,,,,,,,,,1,,92,101,as needed
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL AS NEEDED",50 mcg/actuation nasal spray susp also known as flonase 2 spray in each nostril as needed,spray,23,28,spray,2,,spray,55,63, 2 spray,50,,mcg,0,6,50 mcg,in nostril(s),17,22,nasal,,,,,,,,,,,,,80,89,as needed,as needed,,,,,,,,,,,1,,80,89,as needed
