original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
TAKE 1 2 (ONE HALF) TABLET BY MOUTH ONCE DAILY,take 1 2 one half tablet by mouth once daily,take,0,4,take,0.5,,tablet,8,24, one half tablet,,,,,,,by mouth,18,24,tablet,1,,1,,day,,,,,,,,34,44,once daily,daily,,,,,,,,,,,,,,,
(ALSO KNOWN AS AUGMENTIN ES-600) 2.5 MILLILITERS BY MOUTH TWICE A DAY FOR 10 DAYS,also known as augmentin es-600 2.5 milliliters by mouth twice a day for 10 days,,,,,2.5,,mL,30,45, 2.5 milliliter,,,,,,,by mouth,47,55,by mouth,1,,1,,day,,,,,,,,62,67,a day,daily,,,,,10,,day,68,78,10 day,,,,,
(ALSO KNOWN AS AUGMENTIN ES-600) 3.5 MILLILITERS BY MOUTH TWICE A DAY FOR 10 DAYS,also known as augmentin es-600 3.5 milliliters by mouth twice a day for 10 days,,,,,3.5,,mL,30,45, 3.5 milliliter,,,,,,,by mouth,47,55,by mouth,1,,1,,day,,,,,,,,62,67,a day,daily,,,,,10,,day,68,78,10 day,,,,,
(ALSO KNOWN AS AUGMENTIN ES-600) 4.5 MILLILITERS BY MOUTH TWICE A DAY FOR 10 DAYS,also known as augmentin es-600 4.5 milliliters by mouth twice a day for 10 days,,,,,4.5,,mL,30,45, 4.5 milliliter,,,,,,,by mouth,47,55,by mouth,1,,1,,day,,,,,,,,62,67,a day,daily,,,,,10,,day,68,78,10 day,,,,,
(ALSO KNOWN AS AUGMENTIN ES-600) 7.5 MILLILITERS BY MOUTH TWICE A DAY FOR 10 DAYS,also known as augmentin es-600 7.5 milliliters by mouth twice a day for 10 days,,,,,7.5,,mL,30,45, 7.5 milliliter,,,,,,,by mouth,47,55,by mouth,1,,1,,day,,,,,,,,62,67,a day,daily,,,,,10,,day,68,78,10 day,,,,,
(ALSO KNOWN AS MAXZIDE-25MG) 0.5 TABLET BY MOUTH DAILY,also known as maxzide-25mg 0.5 tablet by mouth daily,,,,,0.5,,tablet,26,37, 0.5 tablet,25,,mg,22,26,25mg,by mouth,31,37,tablet,1,,1,,day,,,,,,,,47,52,daily,daily,,,,,,,,,,,,,,,
(MAXZIDE-25MG) 0.5 TABLET BY MOUTH DAILY,maxzide-25mg 0.5 tablet by mouth daily,,,,,0.5,,tablet,12,23, 0.5 tablet,25,,mg,8,12,25mg,by mouth,17,23,tablet,1,,1,,day,,,,,,,,33,38,daily,daily,,,,,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH DAILY AS NEEDED,0.5 one half tablet by mouth daily as needed,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,29,34,daily,daily,,,,,,,,,,,1,,35,44,as needed
0.5 (ONE HALF) GRAM INTO THE VAGINA TWICE A WEEK,0.5 one half gram into the vagina twice a week,,,,,,,,,,,0.5,,g,3,17, one half gram,vaginally,18,33,into the vagina,2,,1,,week,,,,,,,,34,46,twice a week,2 times per week,,,,,,,,,,,,,,,
0.5 (ONE HALF) TABLET BY MOUTH DAILY AS NEEDED FOR ANXIETY,0.5 one half tablet by mouth daily as needed for anxiety,,,,,0.5,,tablet,3,19, one half tablet,,,,,,,by mouth,13,19,tablet,1,,1,,day,,,,,,,,29,34,daily,daily,,,,,,,,,,,1,anxiety,35,56,as needed for anxiety
