original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
﻿1 TABLET BY MOUTH BEDTIME,﻿1 tablet by mouth bedtime,,,,,1,,tablet,1,9,1 tablet,,,,,,,by mouth,10,18,by mouth,1,,1,,day,,,,,,,,19,26,bedtime,daily,at bedtime,19,26,bedtime,,,,,,,,,,,
10 MG ORALLY QPM,10 mg orally qpm,,,,,,,,,,,10,,mg,0,5,10 mg,by mouth,6,12,orally,1,,1,,day,,,,,,,,13,16,qpm,daily,in the afternoon,13,16,qpm,,,,,,,,,,,
10MG BEDTIME,10mg bedtime,,,,,,,,,,,10,,mg,0,4,10mg,,,,,1,,1,,day,,,,,,,,5,12,bedtime,daily,at bedtime,5,12,bedtime,,,,,,,,,,,
10MG DAILY A.M,10mg daily am,,,,,,,,,,,10,,mg,0,4,10mg,,,,,1,,1,,day,,,,,,,,5,10,daily,daily,in the morning,11,13,am,,,,,,,,,,,
10MG PO BEDTIME,10mg po bedtime,,,,,,,,,,,10,,mg,0,4,10mg,by mouth,5,7,po,1,,1,,day,,,,,,,,8,15,bedtime,daily,at bedtime,8,15,bedtime,,,,,,,,,,,
20MG 2X DAILY,20mg 2x daily,,,,,,,,,,,20,,mg,0,4,20mg,,,,,2,,1,,day,,,,,,,,5,13,2x daily,twice daily,,,,,,,,,,,,,,,
20MG DAILY A.M,20mg daily am,,,,,,,,,,,20,,mg,0,4,20mg,,,,,1,,1,,day,,,,,,,,5,10,daily,daily,in the morning,11,13,am,,,,,,,,,,,
40MG DAILY A.M,40mg daily am,,,,,,,,,,,40,,mg,0,4,40mg,,,,,1,,1,,day,,,,,,,,5,10,daily,daily,in the morning,11,13,am,,,,,,,,,,,
5 MG ORALLY QPM,5 mg orally qpm,,,,,,,,,,,5,,mg,0,4,5 mg,by mouth,5,11,orally,1,,1,,day,,,,,,,,12,15,qpm,daily,in the afternoon,12,15,qpm,,,,,,,,,,,
TAKE 1 TABLET BY ORAL ROUTE 2 TIMES EVERY DAY,take 1 tablet by oral route 2 times every day,take,0,4,take,1,,tablet,4,13, 1 tablet,,,,,,,by mouth,17,21,oral,2,,1,,day,,,,,,,,28,45,2 times every day,twice daily,,,,,,,,,,,,,,,
TK 1 T PO  QPM,tk 1 t po qpm,take,0,2,tk,1,,tablet,2,6, 1 t,,,,,,,by mouth,7,9,po,1,,1,,day,,,,,,,,10,13,qpm,daily,in the afternoon,10,13,qpm,,,,,,,,,,,
TK 1 T PO QPM HS,tk 1 t po qpm hs,take,0,2,tk,1,,tablet,2,6, 1 t,,,,,,,by mouth,7,9,po,1,,1,,day,,,,,,,,10,13,qpm,daily,in the afternoon,10,13,qpm,,,,,,,,,,,
USE 1-2 SPRAYS IN EACH NOSTRIL ONCE IN THE MORNING AND ONCE IN THE EVENING,use 1-2 sprays in each nostril once in the morning and once in the evening,use,0,3,use,1,2,spray,3,13, 1-2 spray,,,,,,,in each nostril,15,30,in each nostril,1,,1,,day,,,,,,,,36,50,in the morning,daily,in the morning,36,50,in the morning,,,,,,,,,,,
1 TABLET BY MOUTH EACH MORNING,1 tablet by mouth each morning,,,,,1,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,30,each morning,daily,in the morning,18,30,each morning,,,,,,,,,,,
1 TABLET BY MOUTH DAILY A.M,1 tablet by mouth daily am,,,,,1,,tablet,0,8,1 tablet,,,,,,,by mouth,9,17,by mouth,1,,1,,day,,,,,,,,18,23,daily,daily,in the morning,24,26,am,,,,,,,,,,,
(ALSO KNOWN AS ADALAT CC) 1 TABLET BY MOUTH TWICE A DAY,also known as adalat cc 1 tablet by mouth twice a day,,,,,1,,tablet,23,32, 1 tablet,,,,,,,by mouth,33,41,by mouth,2,,1,,day,,,,,,,,42,53,twice a day,twice daily,with meal,21,23,cc,,,,,,,,,,,
TAKE 1 TABLET (800MG) BY ORAL ROUTE 3 TIMES EVERY DAY WITH FOOD,take 1 tablet 800mg by oral route 3 times every day with food,take,0,4,take,1,,tablet,4,13, 1 tablet,800,,mg,13,19, 800mg,by mouth,23,27,oral,3,,1,,day,,,,,,,,34,51,3 times every day,3 times per day,,,,,,,,,,,,,,,
