original_sig_text,sig_text,method,method_text_start,method_text_end,method_text,dose,dose_max,dose_unit,dose_text_start,dose_text_end,dose_text,strength,strength_max,strength_unit,strength_text_start,strength_text_end,strength_text,route,route_text_start,route_text_end,route_text,frequency,frequency_max,period,period_max,period_unit,time_duration,time_duration_unit,day_of_week,time_of_day,offset,bounds,count,frequency_text_start,frequency_text_end,frequency_text,frequency_readable,when,when_text_start,when_text_end,when_text,duration,duration_max,duration_unit,duration_text_start,duration_text_end,duration_text,as_needed,indication,indication_text_start,indication_text_end,indication_text
﻿1 TABLET ON THE TONGUE AND ALLOW TO DISSOLVE,﻿1 tablet on the tongue and allow to dissolve,dissolve,37,45,dissolve,1,,tablet,1,9,1 tablet,,,,,,,by mouth,3,9,tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 (ONE) TABLET ON THE TONGUE EVERY 6 HOURS FOR FIVE DAYS AS NEEDED FOR NAUSEA,1 one tablet on the tongue every 6 hours for five days as needed for nausea,,,,,1,,tablet,1,12, one tablet,,,,,,,by mouth,6,12,tablet,1,,6,,hour,,,,,,,,27,39,every 6 hour,every 6 hours,,,,,5,,day,41,53,five day,1,nausea,55,75,as needed for nausea
1 (ONE) TABLET ON THE TONGUE EVERY 8 HOURS AS NEEDED FOR NAUSEA,1 one tablet on the tongue every 8 hours as needed for nausea,,,,,1,,tablet,1,12, one tablet,,,,,,,by mouth,6,12,tablet,1,,8,,hour,,,,,,,,27,39,every 8 hour,every 8 hours,,,,,,,,,,,1,nausea,41,61,as needed for nausea
1 (ONE) TABLET ON THE TONGUE EVERY 8 HOURS FOR FIVE DAYS AS NEEDED FOR NAUSEA,1 one tablet on the tongue every 8 hours for five days as needed for nausea,,,,,1,,tablet,1,12, one tablet,,,,,,,by mouth,6,12,tablet,1,,8,,hour,,,,,,,,27,39,every 8 hour,every 8 hours,,,,,5,,day,41,53,five day,1,nausea,55,75,as needed for nausea
1 (ONE) TABLET ON THE TONGUE EVERY 8 HOURS FOR THREE DAYS AS NEEDED FOR NAUSEA,1 one tablet on the tongue every 8 hours for three days as needed for nausea,,,,,1,,tablet,1,12, one tablet,,,,,,,by mouth,6,12,tablet,1,,8,,hour,,,,,,,,27,39,every 8 hour,every 8 hours,,,,,3,,day,41,54,three day,1,nausea,56,76,as needed for nausea
1 (ONE) TABLET ON THE TONGUE EVERY 8 HOURS FOR TWO DAYS AS NEEDED FOR NAUSEA,1 one tablet on the tongue every 8 hours for two days as needed for nausea,,,,,1,,tablet,1,12, one tablet,,,,,,,by mouth,6,12,tablet,1,,8,,hour,,,,,,,,27,39,every 8 hour,every 8 hours,,,,,2,,day,41,52,two day,1,nausea,54,74,as needed for nausea
"1 APPLICATION, INTRAMUSCULAR, AS NEEDED, FOR SEVERE ALLERGIC REACTION",1 application intramuscular as needed for severe allergic reaction,,,,,1,,application,0,13,1 application,,,,,,,topically,2,13,application,,,,,,,,,,,,,28,37,as needed,as needed,,,,,,,,,,,1,severe allergic reaction,28,66,as needed for severe allergic reaction
(SCHEDULE IV DRUG) TAKE ONE TABLET BY MOUTH AT BEDTIME,schedule iv drug take one tablet by mouth at bedtime,take,17,21,take,1,,tablet,21,32, one tablet,,,,,,,intravenously,9,11,iv,1,,1,,day,,,,,,,,42,52,at bedtime,daily,at bedtime,42,52,at bedtime,,,,,,,,,,,
(SCHEDULE IV DRUG) TK 1 T PO BID,schedule iv drug tk 1 t po bid,take,17,19,tk,1,,tablet,19,23, 1 t,,,,,,,intravenously,9,11,iv,2,,1,,day,,,,,,,,27,30,bid,twice daily,,,,,,,,,,,,,,,
10-15 MILLILITERS ORAL MUCOUS MEMBRANE TWICE A DAY FOR 7 DAYS AS NEEDED,10-15 milliliters oral mucous membrane twice a day for 7 days as needed,,,,,10,15,mL,0,16,10-15 milliliter,,,,,,,by mouth,18,22,oral,1,,1,,day,,,,,,,,45,50,a day,daily,,,,,7,,day,51,60,7 day,1,,62,71,as needed
5 ML SWISH AND SWALLOW EVERY 6 HOURS,5 ml swish and swallow every 6 hours,swish and swallow,5,22,swish and swallow,5,,mL,0,4,5 ml,,,,,,,swish and swallow,5,22,swish and swallow,1,,6,,hour,,,,,,,,23,35,every 6 hour,every 6 hours,,,,,,,,,,,,,,,
5 ML SWISH AND SWALLOW EVERY 8 HOURS,5 ml swish and swallow every 8 hours,swish and swallow,5,22,swish and swallow,5,,mL,0,4,5 ml,,,,,,,swish and swallow,5,22,swish and swallow,1,,8,,hour,,,,,,,,23,35,every 8 hour,every 8 hours,,,,,,,,,,,,,,,
INHALE 2 SPRAYS IN EACH NOSTRIL DAILY,inhale 2 sprays in each nostril daily,inhale,0,6,inhale,2,,spray,6,14, 2 spray,,,,,,,via inhalation,0,6,inhale,1,,1,,day,,,,,,,,32,37,daily,daily,,,,,,,,,,,,,,,
INHALE 2 SPRAYS IN EACH NOSTRIL EVERY DAY,inhale 2 sprays in each nostril every day,inhale,0,6,inhale,2,,spray,6,14, 2 spray,,,,,,,via inhalation,0,6,inhale,1,,1,,day,,,,,,,,38,41,day,daily,,,,,,,,,,,,,,,
INHALE 2 SPRAYS IN EACH NOSTRIL ONCE DAILY,inhale 2 sprays in each nostril once daily,inhale,0,6,inhale,2,,spray,6,14, 2 spray,,,,,,,via inhalation,0,6,inhale,1,,1,,day,,,,,,,,32,42,once daily,daily,,,,,,,,,,,,,,,
"INHALE 3 MILLILITERS BY NEBULIZATION ROUTE 4 TIMES PER DAY AND AS NEEDED, UP TO 6 DOSES PER DAY",inhale 3 milliliters by nebulization route 4 times per day and as needed up to 6 doses per day,inhale,0,6,inhale,3,,mL,6,19, 3 milliliter,,,,,,,via inhalation,0,6,inhale,1,,1,,day,,,,,,,,51,58,per day,daily,,,,,,,,,,,1,,63,94,as needed up to 6 doses per day
INHALE 1 SPRAY (50 MCG) IN EACH NOSTRIL BY INTRANASAL ROUTE ONCE DAILY,inhale 1 spray 50 mcg in each nostril by intranasal route once daily,inhale,0,6,inhale,1,,spray,6,14, 1 spray,50,,mcg,14,21, 50 mcg,via inhalation,0,6,inhale,1,,1,,day,,,,,,,,58,68,once daily,daily,,,,,,,,,,,,,,,
