"ndc9","dose_form_rxcui"
"000063856","1649574"
"737410102","316986"
"525440892","317541"
"647275750","317541"
"691020103","317541"
"000670158","317541"
"687889541","346171"
"502420091","316965"
"658410637","316945"
"746210023","346286"
"370000208","7067"
"631320014","316986"
"400320571","91058"
"720360297","317541"
"001132004","317541"
"476820207","316982"
"000780647","1649574"
"637360123","10312"
"002809000","106332"
"007661500","316992"
"724760034","316968"
"003380644","316949"
"625590791","316945"
"588640635","316943"
"372050060","317541"
"698420713","317541"
"645430130","317541"
"512850087","317541"
"718940135","1649574"
"700000390","316985"
"306980450","317541"
"700000085","316965"
"553010664","7067"
"458020014","316985"
"516724220","316965"
"505800266","317541"
"005485401","1649574"
"411670003","346286"
"339920453","317541"
"680160019","316945"
"582324010","316982"
"006034982","317541"
"136680466","317541"
"719220101","346169"
"504580551","316945"
"595720705","317541"
"504580650","317541"
"161100391","316985"
"533290132","797271"
"116954469","317541"
"539430198","317541"
"383960527","91058"
"524270438","317541"
"552890570","316965"
"458610201","317541"
"758540342","317541"
"718727002","721656"
"680713172","317541"
"694480001","1649574"
"604290967","316965"
"000650644","91344"
"767590003","346286"
"211300432","317541"
"003632390","316945"
"000234290","7670"
"539420072","7067"
"698420989","316982"
"794290001","797271"
"636292827","316945"
"555662500","126542"
"592120002","316965"
"002830914","346163"
"000264824","1649574"
"557000796","316945"
"243850435","316965"
"718727177","721656"
"001214780","316968"
"101350119","317541"
"619190247","316956"
"606870156","91058"
"718530006","316986"
"692381173","316965"
"474260304","1649574"
"353560282","317541"
"001130579","317541"
"000743093","317541"
"005271669","317541"
"651620682","317541"
"781610006","346286"
"712050345","7670"
"633040447","316965"
"699680614","316982"
"691680393","317541"
"003632123","316982"
"001130031","1797831"
"430630801","317541"
"782060166","317541"
"508440493","317541"
"552890869","316943"
"818530007","346286"
"652190065","316949"
"004824760","126542"
"497020213","1649574"
"518240081","317541"
"633230287","1649574"
"518620580","316995"
"550453506","316949"
"700000525","317541"
"243850274","316982"
"520540183","316945"
"684000353","346169"
"411674244","316969"
"739230160","797271"
"003630620","316982"
"705120101","316982"
"500905216","317541"
"728290010","316949"
"000851323","1649571"
"680160795","317541"
"715110502","317541"
"281090010","346286"
"638741020","317541"
"639410498","317541"
"002643125","1649574"
"705180177","316965"
"502680375","316965"
"317220948","317541"
"552920320","317541"
"126340171","317541"
"705150105","317541"
"001312479","317541"
"681960502","317541"
"583940013","1649574"
"680712222","316964"
"627560224","317541"
"693360830","346286"
"533450045","316965"
"495800502","316968"
"306980120","317541"
"685996103","316985"
"101572103","797271"
"706770110","316945"
"681960556","317541"
"669930117","317541"
"332610019","316965"
"553010188","317005"
"001355028","10652"
"002730370","346284"
"705183013","316965"
"461220420","316945"
"004983334","316959"
"553150300","316969"
"001350005","316945"
"500900295","316950"
"637360860","316992"
"516722069","316982"
"004094903","721656"
"597790614","317541"
"504881075","316982"
"620370825","316945"
"000095136","316969"
"002681177","316949"
"502420828","317541"
"422910584","316945"
"368000126","346165"
"701650025","316945"
"551500373","1649574"
"415200429","316945"
"000741053","721656"
"378080466","317541"
"003630714","317541"
"695170102","316965"
"000960735","106332"
"698420893","316965"
"000690502","316945"
"137090312","316973"
"759870101","316995"
"415200748","316965"
"559100684","316965"
"724760169","317541"
"543400145","316986"
"705182010","317541"
"596300266","1649574"
"427470726","316987"
"500901492","316995"
"004046730","1649572"
"493480753","316968"
"606870105","317541"
"000524330","657710"
"499990780","316945"
"663020120","316949"
"751830006","346286"
"005732869","316975"
"000235885","316987"
"698420861","316965"
"457370210","316968"
"500903482","317541"
"005730230","317541"
"501020220","317541"
"640090331","346285"
"655970118","317541"
"368000143","316965"
"243850188","316968"
"684620852","91058"
"003381130","316949"
"524270495","316945"
"518620060","316945"
"637360443","11103"
"505940395","1540453"
"294851465","317541"
"000430134","316965"
"435470435","316945"
"211300860","316965"
"000245850","317541"
"737460033","316986"
"576640228","317541"
"547660894","317541"
"317220122","316945"
"529590010","317541"
"701211452","316949"
"588640705","316945"
"000090050","317541"
"433530848","317541"
"584680225","1649574"
"411630369","316982"
"008690693","316968"
"639400337","317541"
"667580170","316945"
"731180002","797271"
"700000046","317005"
"000650411","7670"
"630200230","316965"
"705182780","721656"
"005559045","317541"
"000450604","316969"
"502420078","1649574"
"670910352","1540453"
"598980800","316982"
"751090008","797271"
"421920153","316955"
"572430502","316968"
"588640662","317541"
"524270430","317541"
"505800249","316969"
"725050010","346286"
"009270561","316982"
"819020201","346286"
"003636600","316965"
"588640858","316945"
"811970000","797271"
"620110236","316969"
"493480315","316946"
"631020115","316968"
"470460163","316985"
"636291001","317541"
"743000003","316982"
"116730956","316965"
"721890161","316965"
"502420145","1649574"
"001400004","317541"
"249870377","1649574"
"118220958","316946"
"617480092","317541"
"000234857","316982"
"174780320","7670"
"641930323","1649574"
"690770105","346165"
"587680781","7670"
"683820670","316942"
"134110103","317541"
"674570954","316949"
"008500963","316982"
"167810391","316986"
"638680412","316945"
"723080025","797271"
"426816513","316992"
"597790276","316968"
"594340134","316983"
"503530105","316986"
"494830692","317541"
"516550342","316965"
"000034522","1649574"
"636540342","317541"
"633230488","1649574"
"692381171","316965"
"378080163","7067"
"001870653","316983"
"687886868","316945"
"553150333","316945"
"688980110","346165"
"411900434","7067"
"000881654","317541"
"411670039","316982"
"741490002","346286"
"703701060","316965"
"508810026","317541"
"745480013","346286"
"000650660","7670"
"655800594","316945"
"005730150","317541"
"728930005","1649574"
"001730716","721654"
"746020700","797271"
"493480045","316968"
"116730738","316968"
"696160211","317541"
"507420267","317541"
"000040822","316969"
"505800490","317541"
"687886981","316982"
"000780655","317541"
"619240188","316983"
"001730882","744995"
"000780685","317541"
"420230125","316965"
"242080450","7670"
"001697830","1649574"
"639810147","316945"
"512850128","317541"
"685164609","1649574"
"009046860","10312"
"001350484","10652"
"000672037","317541"
"697440202","346165"
"493480918","317541"
"698420951","317541"
"000852224","1540456"
"688750101","1649574"
"516621409","316949"
"004091587","316949"
"499990988","317541"
"004091746","1649574"
"002471538","316950"
"680711627","316982"
"001730754","316945"
"533290073","346165"
"516550340","317541"
"597790509","316968"
"000870819","317541"
"006416085","1649574"
"174780604","7670"
"003381136","316949"
"576640343","91058"
"539430319","317541"
"000520316","1649572"
"720650141","1649574"
"721890277","316982"
"593530404","721656"
"105440288","317541"
"683080505","317541"
"619581401","317541"
"551110798","316945"
"755360003","797271"
"680830364","316949"
"790210007","797271"
"552890870","317541"
"718940140","1649574"
"619952769","316955"
"001870771","317541"
"698420517","316965"
"712050534","316965"
"771290001","346286"
"698420727","316965"
"368000688","126542"
"663360589","316965"
"669830350","317541"
"115237214","316968"
"461220218","316968"
"691680263","317541"
"516621239","721656"
"235940505","317541"
"551110700","316968"
"103100684","316956"
"772510008","316955"
"412500197","317541"
"493480083","316968"
"551546933","317541"
"750270002","316986"
"597790395","1540453"
"578440009","317541"
"644060007","316995"
"508040046","317541"
"713910124","1792831"
"680712464","316982"
"724260118","317541"
"591480033","317541"
"691970029","317541"
"004092304","1649574"
"002542029","317541"
"700070400","1810682"
"607620112","316982"
"000236465","7670"
"299430002","7670"
"490350163","7067"
"533450026","316965"
"692381626","316995"
"353560160","316943"
"597260471","316965"
"551500248","1649574"
"001350482","91058"
"807020752","797271"
"002800033","316969"
"638680560","316965"
"003630336","316945"
"660190308","126542"
"552890986","317541"
"651620321","316945"
"590880429","316982"
"002471740","1797831"
"529590505","317541"
"707101204","316995"
"639410220","317541"
"612690410","1649574"
"307750040","346285"
"353560936","346286"
"455650730","316982"
"638240443","316955"
"588090729","316968"
"411670290","10312"
"000690151","317541"
"694520265","316965"
"500905844","316965"
"726940515","1649574"
"000810670","316945"
"003160227","316955"
"107020101","317541"
"019810300","2107950"
"561040015","346165"
"001350200","316982"
"211300901","316965"
"116730251","316968"
"733600002","346286"
"708420102","1649574"
"493480972","316968"
"551547777","316945"
"705180677","317541"
"001860777","317541"
"520830262","91058"
"593530120","316949"
"107330170","346169"
"118220444","316985"
"500904068","1649571"
"692560144","316945"
"003634202","316965"
"001130516","316968"
"521240040","316982"
"476820725","317541"
"500905619","1649574"
"683870194","317541"
"700000010","7670"
"165710402","317541"
"294855270","402499"
"433530443","316945"
"167140919","316945"
"555130207","1649574"
"458020238","317541"
"753530614","346286"
"274370205","91058"
"751370531","316986"
"503320123","316992"
"004094168","316949"
"411630958","316946"
"003106770","317541"
"502220260","316982"
"666890403","316968"
"512240154","317541"
"626827065","317541"
"680710833","317541"
"687887861","316968"
"000950049","316986"
"681630774","316968"
"788740500","316986"
"003384211","316986"
"583940134","1649574"
"004049890","721656"
"000252924","316945"
"003104500","1649574"
"553010543","316968"
"619190524","317541"
"679190041","317541"
"722880357","317541"
"586020838","316942"
"000026145","1739329"
"578940030","1649574"
"411670220","316965"
"546290850","317541"
"490350976","316968"
"001693004","1649571"
"436840100","316983"
"687888105","316982"
"639410466","316968"
"667155572","316965"
"532251023","1792831"
"514670007","317541"
"009442948","1649574"
"680711650","7670"
"004500202","91058"
"634020193","317541"
"669750350","346169"
"370000976","7067"
"712050197","317541"
"420230131","316949"
"118221055","316945"
"551110137","316965"
"636298232","316943"
"000074896","317541"
"000050100","721656"
"504190253","317541"
"597790458","317541"
"645430340","317541"
"680160599","316965"
"512850038","317541"
"712050909","317541"
"522680011","316968"
"001350094","316969"
"529590276","91344"
"002241852","1540456"
"698420315","126542"
"678770626","317541"
"492810915","1649574"
"495800499","316968"
"686052010","316983"
"637360012","316969"
"679960457","346285"
"500904514","7670"
"781120694","346163"
"301420572","316968"
"003381146","316949"
"584060446","1649570"
"372050819","316965"
"677770139","106332"
"505800457","317541"
"667156860","126542"
"493480167","317541"
"644060013","721656"
"504580609","721656"
"005013401","316982"
"711040486","1649574"
"751370857","346165"
"680160448","7670"
"655970104","317541"
"001850722","317541"
"712960012","316986"
"525840903","721656"
"588640614","316995"
"001350528","10652"
"368000568","316965"
"636298746","317541"
"663120110","316956"
"117630526","91058"
"718810103","346289"
"128430393","316969"
"705150610","1540454"
