"clinical_product_rxcui","dose_form_rxcui"
"897859","316950"
"1484289","91058"
"849597","721656"
"313758","317541"
"1673047","346288"
"198782","316965"
"1424281","316984"
"312903","316949"
"1789539","91058"
"1596780","346286"
"895204","316949"
"1111171","316945"
"1049221","317541"
"904628","316949"
"1241769","316965"
"1791498","1649574"
"313656","316965"
"198250","316965"
"242718","316965"
"966777","316949"
"2280732","316949"
"315107","316945"
"1666821","1649572"
"2370234","1649574"
"2169295","316965"
"198241","316965"
"1363309","317541"
"312872","316968"
"826081","797271"
"2279407","346289"
"242727","316983"
"1790639","721654"
"1795171","1649574"
"1924313","317541"
"310812","317541"
"830555","721656"
"895050","316949"
"746810","744995"
"860999","316945"
"310203","1649574"
"351174","316965"
"2595944","721656"
"1918194","744995"
"2371067","2269578"
"1048281","316956"
"968200","316949"
"1438497","316978"
"904492","317541"
"2262906","1649574"
"968817","346165"
"1052658","317541"
"895604","316949"
"403966","316965"
"2272120","317541"
"1739819","316945"
"1731590","1649574"
"866084","316986"
"211747","316955"
"1650030","316969"
"833461","316983"
"2003667","721656"
"197604","317541"
"1423662","970789"
"2204090","317691"
"1369424","316968"
"852676","316949"
"309287","10312"
"2557245","1649574"
"1593749","316968"
"636811","316968"
"1312963","316968"
"1543004","316995"
"2058523","316965"
"311935","316949"
"312055","316969"
"1091839","317541"
"892550","316949"
"1112248","316945"
"1014266","316949"
"846934","316965"
"1303736","316943"
"856773","317541"
"995270","1649574"
"2563007","721656"
"702433","316983"
"1741417","316965"
"895304","316949"
"410503","316965"
"1736541","1649574"
"2474344","316982"
"636185","316978"
"1113397","316969"
"2205472","317541"
"1722916","316949"
"198207","316949"
"830155","316982"
"722152","317541"
"749206","317541"
"1666338","317007"
"1112895","316965"
"197438","317541"
"1116194","317541"
"1487527","744995"
"1665093","1649574"
"1494667","91058"
"753438","316987"
"1009456","1649574"
"895729","316949"
"1094141","316965"
"899511","316943"
"1718906","1649574"
"830837","316943"
"967051","316949"
"854245","721656"
"1099300","317541"
"1298334","317541"
"582753","316986"
"1790353","721656"
"1490034","316965"
"748798","317541"
"991051","317541"
"1731075","1649574"
"1482908","10312"
"1808604","317541"
"1795618","1649574"
"1596950","1649572"
"284193","1649574"
"598006","317541"
"238100","316949"
"198270","317541"
"597957","657710"
"198052","317541"
"403969","316965"
"2588070","1861409"
"2569080","1649574"
"757968","317541"
"199233","91058"
"197919","317541"
"792091","316955"
"966536","721654"
"239204","316949"
"2102469","1649574"
"1085816","106332"
"259714","106332"
"1101932","316943"
"1855393","1649574"
"835591","316965"
"1941742","316965"
"313774","317541"
"1043719","316984"
"2197844","316986"
"1655726","1649570"
"895999","721654"
"995983","316968"
"835829","316949"
"1246338","316968"
"1000479","10312"
"198429","317541"
"892502","316949"
"1358610","316950"
"847252","1649571"
"1597601","1649574"
"1659137","1649574"
"1482515","317541"
"748797","317541"
"312938","317541"
"2369390","316949"
"312644","316949"
"831359","316943"
"1192516","346165"
"309844","316968"
"2548762","317541"
"199078","316982"
"1727443","2269573"
"1547708","346169"
"836647","317007"
"1731993","1649574"
"991044","317541"
"2374332","1649574"
"1236013","316965"
"847239","1649571"
"1150101","316965"
"1536470","1535727"
"1740900","1649574"
"2123177","316965"
"895725","316949"
"1010033","316949"
"197303","317541"
"1299914","317541"
"1807636","1649574"
"830680","316949"
"2171001","317541"
"2056453","91058"
"1608327","316965"
"897745","316949"
"832115","7670"
"1863607","1649574"
"896184","744995"
"197528","317541"
"483427","316965"
"835726","10312"
"1862584","317541"
"830801","316943"
"707348","316983"
"312029","11108"
"205304","317541"
"199422","317541"
"866018","317541"
"197989","316949"
"577226","346285"
"1658105","1649574"
"142085","346286"
"2118732","317541"
"151029","316985"
"2468312","316969"
"2044966","317541"
"1189630","316992"
"2583743","316950"
"1655928","317541"
"314165","7670"
"313554","316982"
"251020","91058"
"1310503","317541"
"200010","316982"
"597730","317541"
"403957","317541"
"315135","317541"
"251156","316968"
"1356797","317541"
"1734090","1649574"
"1602118","317541"
"1795498","1649574"
"1368280","316982"
"2586371","1649574"
"2058927","1649574"
"311430","317541"
"800341","316949"
"854162","316949"
"2361311","316968"
"1014615","317541"
"1716195","1649574"
"993890","317541"
"895670","316945"
"197795","316982"
"727316","1649570"
"1048299","346163"
"283083","316982"
"604806","316949"
"899557","317541"
"1303125","10312"
"727415","1649570"
"577927","7670"
"1940374","317541"
"1597387","317541"
"1491649","316968"
"1870207","1649570"
"2170256","1649574"
"1601388","316965"
"1806179","316943"
"899686","316949"
"1014311","316949"
"992775","2107950"
"761922","316985"
"476827","316965"
"596926","316995"
"831506","1649574"
"1797890","1797831"
"2548739","317541"
"999823","316965"
"801024","316949"
"1370427","316968"
"545255","316964"
"900151","316949"
"1302827","316943"
"237723","316968"
"730782","1649574"
"2056462","316968"
"897853","316945"
"2395777","1649570"
"832092","797271"
"197313","317541"
"1728767","316999"
"1604348","316965"
"899972","316949"
"1190748","1649574"
"2168542","316965"
"260225","402496"
"1428880","1540453"
"1234941","316968"
"1658259","1649574"
"852161","316949"
"857321","317541"
"886627","1649574"
"1422561","316982"
"1807552","1649574"
"2569283","317541"
"1297988","316968"
"2540692","1649570"
"858810","317541"
"200009","316983"
"308192","317541"
"2548768","317541"
"1370211","316968"
"2003766","1649570"
"403851","317541"
"1010844","1649574"
"197506","317541"
"1299985","316949"
"313784","317541"
"1716086","858080"
"259226","317541"
"801395","316949"
"312617","317541"
"1013953","316949"
"801364","316949"
"876524","317541"
"730872","317541"
"198434","316978"
"895073","316949"
"2055645","1649574"
"1292313","316982"
"315187","316968"
"562564","126542"
"309692","316964"
"1247379","317541"
"403822","1649574"
"1441392","317541"
"1367206","317541"
"1291250","316965"
"1944380","316943"
"429199","317541"
"1099292","317541"
"205100","106332"
"1234482","316968"
"242698","316992"
"1543158","316982"
"204901","316965"
"752889","721656"
"581417","316965"
"1099596","316995"
"1812680","316985"
"2045951","317541"
"847259","1649571"
"800915","1540455"
"260265","316950"
"346298","346286"
"1001714","316955"
"2269307","316943"
"199903","316965"
"892646","316945"
"2591588","1649574"
"1535609","317541"
"1925256","721656"
"1658244","1649574"
"309333","316986"
"1658343","317541"
"1014123","346285"
"1303746","316965"
"197686","317541"
"1744259","1649572"
"967053","316949"
"1737453","1649574"
"1658245","1649574"
"799034","721654"
"197454","317541"
"1872478","1649574"
"1150067","316968"
"2383008","316985"
"1297390","317541"
"1729578","1649574"
"1989816","1649574"
"1720960","1649574"
"1547561","316965"
"1039349","11103"
"1356812","317541"
"242214","317541"
"1790169","317541"
"415976","346286"
"1658637","1649574"
"759697","317541"
"562711","346286"
"1114198","317541"
"308696","316955"
"892641","316949"
"1868014","317541"
"1720275","1649574"
"995071","316969"
"308194","317541"
"1100262","317541"
"1148645","744995"
"1483744","317541"
"1486687","317541"
"2475194","317541"
"1803902","1649571"
"858625","317541"
"883748","316965"
"2166196","1649574"
"200034","317541"
"757968","316995"
"1808224","1649574"
"1922453","1649574"
"1807638","1649574"
"1667668","316965"
"848987","316965"
"197519","316983"
"2104336","7670"
"311919","317541"
"313211","316965"
"1723991","316982"
"1358989","316985"
"1723776","1649572"
"1298799","317541"
"2562194","316965"
"1991316","1649571"
"200345","317541"
"900716","316949"
"1243343","346289"
"1298948","1649574"
"1357553","316968"
"861208","7670"
"1539243","1649574"
"731334","1649571"
"992766","2107950"
"856987","317541"
"2589378","721656"
"476556","317541"
"851885","316949"
"2277603","316989"
"968173","1649574"
"997264","1649574"
"1356807","317541"
"197978","317541"
"899439","316943"
"485291","316992"
"1300308","1649574"
"897630","316943"
"1424889","744995"
"308976","316969"
"311989","316969"
"2572284","316965"
"1747561","317541"
"1547104","317541"
"863038","7670"
"827073","317541"
"2282408","317541"
"896236","721654"
"1859490","1649574"
"1046700","7670"
"1858970","316943"
"348017","316999"
"1041780","797271"
"1117245","316965"
"828353","316943"
"991039","317541"
"904405","317541"
"562445","316982"
"197322","317541"
"1091392","317541"
"1368954","316995"
"1293443","316949"
"1098497","316968"
"197700","317541"
"757597","317541"
"1366653","317541"
"197945","317541"
"1150284","316965"
"1593058","316945"
"1788932","316969"
"1442116","316965"
"313227","11103"
"727494","1649574"
"1536474","1535727"
"763185","317541"
"898136","316950"
"2592953","1649574"
"758030","721656"
"2178790","721656"
"197443","317541"
"966219","1649574"
"2596175","1649570"
"2178404","317541"
"310587","316949"
"1482684","316982"
"309092","1649574"
"2105826","1649574"
"349434","317541"
"852547","316949"
"852842","316949"
"197684","316965"
"249465","346170"
"1042663","316985"
"2387078","1649574"
"996580","316968"
"312036","316968"
"2535750","317541"
"237508","1649574"
"834046","316968"
"308988","316945"
"1547573","317541"
"896074","316949"
"2119271","317541"
"1807627","1649574"
"485440","317541"
"314188","316986"
"197853","317541"
"198316","316965"
"1437739","316942"
"313096","317541"
"852358","316949"
"199371","317541"
"309778","316949"
"198487","316992"
"1148399","316945"
"903456","317541"
"198108","316965"
"1046643","7670"
"1716065","858080"
"1039286","316968"
"1356346","316945"
"1797847","1797831"
"995697","316949"
"578044","316964"
"1658058","1649574"
"2562187","316965"
"314108","316965"
"1989809","1649574"
"1292879","1649574"
"402109","317541"
"894786","316949"
"1747574","317541"
"1013964","316949"
"615099","1649574"
"2478530","7670"
"617302","316969"
"852342","316949"
"1812011","316945"
"617973","346165"
"856481","316943"
"2198937","316955"
"2200018","91058"
"1656340","317541"
"831162","316986"
"197849","316965"
"847910","1649571"
"854925","317541"
"1855508","1649574"
"1428927","316968"
"310798","317541"
"2109976","721656"
"1361495","317541"
"979471","317541"
"1428138","316968"
"857216","317541"
"359383","316945"
"2563997","316965"
"861365","721656"
"199351","317541"
"1303878","316986"
"2003660","316986"
"245593","346169"
"317094","317541"
"2373454","316968"
"1190552","721656"
"2262254","657710"
"198322","317541"
"859419","317541"
"197886","317541"
"197942","317541"
"283672","317541"
"1086750","316969"
"1367204","317541"
"199834","316982"
"1358451","316986"
"2380605","316950"
"328162","317541"
"617312","317541"
"1088936","317541"
"891441","346163"
"1987402","1649574"
"204638","106332"
"834241","317541"
"2170244","1649574"
"1089769","346165"
"199099","316985"
"1429345","316968"
"1659149","1649574"
"800445","316949"
"1604345","316965"
"1432969","316987"
"312020","316943"
"2056488","316968"
"1547666","744995"
"2274384","317541"
"1091719","721656"
"308720","7670"
"830252","721656"
"1044268","316985"
"889642","316949"
"198007","317541"
"1795470","1649574"
"1148155","316968"
"1244214","316995"
"706868","7670"
"429558","317541"
"1994360","316965"
"2564153","317541"
"984118","1649574"
"2261741","316987"
"968181","1649574"
"866090","317541"
"800066","316951"
"1855389","346161"
"204119","316983"
"312818","346161"
"2533920","1649574"
"647407","317690"
"312136","317541"
"198852","316965"
"1363780","316945"
"1427392","316968"
"198153","317541"
"1667915","1649574"
"1607111","744995"
"314192","1649574"
"1111065","316968"
"106302","316982"
"313921","316982"
"485415","316942"
"1095689","316986"
"477050","316965"
"1357013","316968"
"825411","317541"
"665042","317541"
"308391","316943"
"205074","91058"
"1724446","317541"
"1721613","317541"
"1190112","721656"
"1300385","1649574"
"763453","1649574"
"416910","316982"
"753562","1540456"
"1811255","1649574"
"1790161","317541"
"311034","316949"
"1813423","1649574"
"1010604","2269578"
"1093289","316982"
"1000091","316982"
"727147","346285"
"242623","91058"
"803369","721656"
"1014402","316949"
"852385","316949"
"1809212","1649574"
"2059031","317541"
"309305","316974"
"197737","317541"
"1100198","316965"
"198152","317541"
"892520","316949"
"1741403","1649574"
"664823","316965"
"1737850","1649574"
"833505","106332"
"857702","317541"
"899909","316949"
"672574","346165"
"2387355","317541"
"847626","316949"
"1791500","1649574"
"486166","1649574"
"855873","316943"
"889598","316949"
"810071","316945"
"314182","316968"
"895277","316949"
"242139","106332"
"1927688","2107950"
"200318","316950"
"577055","317541"
"2106356","10312"
"387003","317541"
"1799694","1649574"
"313861","316965"
"282575","316983"
"1300882","316965"
"844379","797271"
"852297","316949"
"2279421","346289"
"485486","316965"
"198146","317541"
"242339","316965"
"1297542","316949"
"476545","316987"
"1658265","1649574"
"259870","316965"
"313366","316965"
"1248057","316968"
"239208","316949"
"1091133","316968"
"2550903","1649574"
"2264366","721656"
"199365","316992"
"1944529","317541"
"1245706","316969"
"721773","316942"
"852604","316949"
"1807548","1649574"
"199541","346165"
"617628","316983"
"1551468","316945"
"1117086","316949"
"476553","91058"
"968534","316949"
"401954","316942"
"2399656","317690"
"2057215","721656"
"1657190","1649574"
"1535462","316965"
"1797865","1797831"
"753557","1540456"
"1193293","317541"
"212787","316968"
"1049110","346165"
"2196790","721654"
"795709","316965"
"1992303","7670"
"2586375","1649574"
"1999185","1649574"
"349435","317541"
"310194","316965"
"1368392","317541"
"1739890","316949"
"1044353","316949"
"1116927","316949"
"1998783","316949"
"2539209","316986"
"1090476","316965"
"1670316","317541"
"1743547","1649574"
"998521","316983"
"351293","317541"
"892494","316943"
"849850","1649571"
"240912","316949"
"1364116","1649574"
"308697","346286"
"1542452","316969"
"2586863","1649574"
"2586364","1649574"
"476177","316942"
"1115552","316965"
"1746494","316942"
"1655959","1649574"
"851921","316949"
"2566811","316965"
"2539227","91058"
"401965","317541"
"1358170","317541"
"1486838","1540454"
"240707","317541"
"199167","317541"
"2048720","317007"
"313580","317541"
"863854","316943"
"2121421","1649574"
"1601102","316965"
"2540431","317541"
"2001424","317541"
"1112810","317541"
"313641","316965"
"1728800","1649574"
"1095545","1540456"
"809992","317541"
"795461","1649574"
"1792852","1792831"
"1551782","317541"
"897384","316949"
"1870232","1649570"
"197885","317541"
"1537039","317541"
"199389","317541"
"1364492","316965"
"198466","316965"
"846927","316965"
"896133","316949"
"884707","2107950"
"199420","317541"
"1795616","1649574"
"284245","317541"
"199150","317541"
"1741733","317541"
"672519","317541"
"313389","317541"
"347024","316999"
"310592","657710"
"2472141","317541"
"1743704","1649574"
"901018","316949"
"430551","317541"
"1796672","1649574"
"245557","316965"
"1597379","317541"
"312881","316986"
"200090","316983"
"889664","316949"
"744790","346163"
"313362","316965"
"749814","721656"
"1552002","2284289"
"200031","317541"
"1606349","317541"
"1357923","316945"
"199006","346165"
"857301","316965"
"1442274","346165"
"199107","317541"
"1361019","1649572"
"580285","316965"
"1869281","1649574"
"607229","316983"
"312028","11107"
"889650","316949"
"259934","316965"
"1232580","316949"
"1090468","316965"
"2472139","317541"
"1734399","1649574"
"199239","317541"
"2044429","1649574"
"198037","316965"
"899541","316949"
"867175","316949"
"602127","316942"
"198445","316978"
"1049111","316986"
"1918209","744995"
"1006294","316949"
"1482525","317541"
"1743994","1649574"
"1115584","317541"
"403799","316987"
"1726319","1649574"
"1049179","317541"
"895664","317541"
"313387","317541"
"978054","316985"
"2099768","317541"
"103457","316985"
"1099678","10312"
"2465246","1649574"
"668363","970789"
"853167","316985"
"1366494","317541"
"283639","317541"
"251575","316986"
"1046631","316968"
"892335","316949"
"1086720","316968"
"1014675","316965"
"312447","316949"
"310291","317541"
"731000","91058"
"1424214","1649574"
"999789","316999"
"966270","317541"
"309002","316999"
"544491","1649574"
"1235144","317541"
"198427","317541"
"1726979","1649574"
"900050","316949"
"312078","317541"
"905279","316949"
"1658042","1649574"
"1737471","1649574"
"1291244","317541"
"896290","316949"
"852817","316949"
"1987647","316986"
"308867","316965"
"997170","317541"
"247747","316965"
"2279442","346289"
"313582","317541"
"1651594","1792831"
"1812945","316969"
"1869697","316965"
"1806210","316943"
"753440","316987"
"1998460","317541"
"198351","317541"
"1048307","316965"
"198006","317541"
"1807508","1649574"
"1657663","1649574"
"1009462","316963"
"834235","317541"
"244526","316983"
"1487369","316968"
"1654862","1649571"
"664732","316965"
"858770","317541"
"2169274","317541"
"903851","1649574"
"2002800","91058"
"1538272","316965"
"248279","316982"
"309309","317541"
"197448","317541"
"1049604","316968"
"899984","316949"
"1303890","316986"
"968644","316965"
"891636","316949"
"1370758","316985"
"487056","346161"
"1724341","1649574"
"583459","7067"
"430860","317541"
"1857921","316968"
"2467148","1649574"
"861467","317541"
"1148249","7670"
"1801964","317541"
"1044488","316949"
"725021","316987"
"1442137","317541"
"197838","317007"
"308511","91344"
"1807580","1649574"
"2044889","316983"
"1790666","91058"
"2477902","1649574"
"204602","316985"
"2058900","316968"
"1086778","317541"
"313447","317541"
"1790650","316968"
"2559727","317541"
"198752","316983"
"348906","317541"
"860113","721656"
"244458","106332"
"1988977","316945"
"1294550","1649574"
"618469","317541"
"2586841","721656"
"858580","316943"
"2266762","346169"
"1117394","316968"
"312199","316949"
"250344","106332"
"798061","797271"
"1037285","346286"
"899572","316949"
"311265","91058"
"351223","1649574"
"309077","316969"
"1544473","317541"
"749788","317541"
"801092","721654"
"596930","316995"
"898342","316965"
"197984","316965"
"882504","316942"
"763181","317541"
"1809444","1649574"
"1098678","317541"
"199904","317541"
"2590672","316949"
"1867552","1540455"
"309374","317541"
"1988770","317541"
"1543704","316985"
"1600773","316943"
"2471873","316982"
"656659","317541"
"313453","346286"
"898356","316965"
"1305909","721656"
"2118606","317541"
"1375932","316968"
"1992826","317541"
"992528","316982"
"2186001","346286"
"801032","316949"
"477560","317541"
"1809736","1649574"
"829500","316965"
"2377333","721656"
"2045501","721656"
"2596169","316969"
"1424551","317541"
"2532322","317541"
"2184108","317541"
"2380265","1649571"
"722279","316987"
"762837","721656"
"899561","316949"
"1544753","1649574"
"1245229","346165"
"848751","317541"
"1743871","1649574"
"1873990","317541"
"197856","316965"
"1813404","316949"
"1088800","317541"
"1738483","317541"
"1667660","316965"
"852014","316949"
"197681","317541"
"1801835","7670"
"104155","316978"
"1806382","317541"
"897327","316949"
"746814","744995"
"1115590","152903"
"314106","317541"
"1012021","7670"
"752884","721656"
"1603501","316987"
"240758","317541"
"1724790","1649574"
"597990","317541"
"428899","317541"
"1491882","316982"
"979492","317541"
"861383","1649574"
"418475","316985"
"2272626","126542"
"795765","316965"
"198191","317541"
"1552351","657710"
"885489","316968"
"309322","316969"
"998548","970789"
"1298088","316965"
"2099361","657710"
"199575","316965"
"1115257","721656"
"898723","317541"
"2554802","1649574"
"197433","317541"
"1251008","316986"
"2046528","91058"
"1801294","316945"
"1014235","316949"
"700903","346285"
"2166796","744995"
"311486","317541"
"1313112","316969"
"852018","316949"
"1046310","346285"
"826862","317541"
"700408","316965"
"1091152","91058"
"1668250","1649574"
"1094434","316968"
"1236628","316969"
"833147","317541"
"1806953","316995"
"1006729","7670"
"1665895","1649570"
"904372","317541"
"830736","316965"
"1549693","1649574"
"1369805","721656"
"238135","317541"
"1743938","1649574"
"1044329","316949"
"2257313","346286"
"103403","316983"
"1734483","1649574"
"313583","316943"
"248277","317690"
"727619","721656"
"1737457","1649574"
"1720271","1649574"
